repo_name,time_period,prs_opened,commits,commit_additions,commit_deletions,commit_changes_total,commit_files_changed_count,pr_commits,pr_commit_additions,pr_commit_deletions,pr_commit_changes_total,pr_commit_files_changed_count,push_commits,push_commit_additions,push_commit_deletions,push_commit_changes_total,push_commit_files_changed_count,commits_lt100,commit_additions_lt100,commit_deletions_lt100,commit_changes_total_lt100,commit_files_changed_count_lt100,push_commits_lt100,push_commit_additions_lt100,push_commit_deletions_lt100,push_commit_changes_total_lt100,push_commit_files_changed_count_lt100,pr_commits_lt100,pr_commit_additions_lt100,pr_commit_deletions_lt100,pr_commit_changes_total_lt100,pr_commit_files_changed_count_lt100,comments,issue_comments,pr_comments,own_issue_comments,helping_issue_comments,own_pr_comments,helping_pr_comments,linked_pr_issue_comments,issues_opened,issues_opened_with_linked_pr,pr_reviews,pr_review_comments,prs_merged,issues_closed,first_period,final_period,closed_issue,closed_in_30_days,closed_in_60_days,closed_in_90_days,closed_in_180_days,closed_in_360_days,prs_closed_unmerged,p_prs_closed_unmerged,p_prs_merged,p_review_state_commented,p_review_state_approved,p_review_state_changes_requested,p_prs_merged_30d,p_prs_merged_60d,p_prs_merged_90d,p_prs_merged_180d,p_prs_merged_360d,prs_closed,p_prs_closed,mean_pr_reviews,time_index,departed_actor_id,last_pre_period,treatment_period,abandoned_date,treated_project,treatment,treatment_group,total_important,total_nodes,mean_cluster_overlap,avg_clusters_per_node,pct_nodes_one_cluster,HHI_normalized_degree,HHI_individual_coverage,HHI_individual_coverage_cluster,normalized_degree,imp_to_other_avg_edge_weight,important,imp_to_other_perc_10,imp_to_other_perc_25,imp_to_other_perc_50,imp_to_other_perc_75,imp_to_other_perc_90,imp_to_imp_avg_edge_weight,imp_to_imp_perc_10,imp_to_imp_perc_25,imp_to_imp_perc_50,imp_to_imp_perc_75,imp_to_imp_perc_90,individual_node_coverage,individual_coverage_cluster,overall_overlap,weighted_overall_overlap,prop_important
Alir3z4/html2text,2015-01-01,16,62,1136,415,1551,223,22,737,342,1079,139,40,399,73,472,84,62,1136,415,1551,223,40,399,73,472,84,22,737,342,1079,139,150,76,74,15,61,18,56,101,38,57,0,2,16,16,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,1,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,2,21,63.6363636363636,1.41176470588235,58.8235294117647,0.513888888888889,0.513888888888889,0.513888888888889,0.4,2.5,FALSE,1,1.25,2.5,3,4,17.5,8.3,11.75,17.5,23.25,26.7,,,,,0.0952380952380952
Alir3z4/html2text,2015-07-01,7,25,2099,1699,3798,187,10,1357,879,2236,158,15,742,820,1562,29,25,2099,1699,3798,187,15,742,820,1562,29,10,1357,879,2236,158,111,74,37,17,57,16,21,76,31,27,0,0,8,9,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,2,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alir3z4/html2text,2016-01-01,10.5,43,428,132,560,77,17,174,64,238,33,26,254,68,322,44,43,428,132,560,77,26,254,68,322,44,17,174,64,238,33,140,85,55,26,59,14,41,100,45,43,0,20,12,20,2015-01-01T00:00:00Z,2023-07-01,0.9,0.6,0.65,0.7,0.8,0.8,0,0,1,0,0,0,0.916666666666667,0.916666666666667,1,1,1,12,1,,3,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,2,24,50,1.30434782608696,69.5652173913044,0.502222222222222,0.502222222222222,0.502222222222222,0.260869565217391,1.75,FALSE,1,1,1.5,2.25,2.7,8.5,8.1,8.25,8.5,8.75,8.9,,,,,0.0833333333333333
Alir3z4/html2text,2016-07-01,0.5,9,105,27,132,20,1,5,6,11,2,8,100,21,121,18,9,105,27,132,20,8,100,21,121,18,1,5,6,11,2,56,38,18,7,31,6,12,31,20,22,0,0,3,6,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,4,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,1,13,0,1,100,,,,0.333333333333333,3,FALSE,1.2,1.5,2,4,5.2,3,3,3,3,3,3,,,,,0.0769230769230769
Alir3z4/html2text,2017-01-01,8,27,421,219,640,63,15,328,187,515,50,12,93,32,125,13,27,421,219,640,63,12,93,32,125,13,15,328,187,515,50,90,28,62,3,25,13,49,26,20,13,0,4,9,9,2015-01-01T00:00:00Z,2023-07-01,0.538461538461538,0.461538461538462,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,2,0.181818181818182,0.818181818181818,0,0,0,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,11,1,,5,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,2,21,37.5,1.2,80,0.524691358024691,0.524691358024691,0.524691358024691,0.35,6.16666666666667,TRUE,2,2,2.5,3,14,14,14,14,14,14,14,33.3333333333333,46.6666666666667,50,81.0810810810811,0.0952380952380952
Alir3z4/html2text,2017-07-01,5,15,264,97,361,40,9,256,90,346,36,6,8,7,15,4,15,264,97,361,40,6,8,7,15,4,9,256,90,346,36,108,38,70,12,26,14,56,31,29,15,0,11,5,8,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,6,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,2,21,40,1.21428571428571,78.5714285714286,0.515570934256055,0.515570934256055,0.515570934256055,0.35,5,TRUE,1.5,2.25,3,6.75,10.5,25,25,25,25,25,25,33.3333333333333,50,50,63.3333333333333,0.0952380952380952
Alir3z4/html2text,2018-01-01,2,8,60,15,75,12,3,50,6,56,8,5,10,9,19,4,8,60,15,75,12,5,10,9,19,4,3,50,6,56,8,27,12,15,4,8,2,13,13,9,8,0,6,2,2,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,7,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,1,10,0,1,100,,,,0.222222222222222,1,FALSE,1,1,1,1,1,6,6,6,6,6,6,,,,,0.1
Alir3z4/html2text,2018-07-01,4,6,137,16,153,30,5,137,16,153,30,1,0,0,0,0,6,137,16,153,30,1,0,0,0,0,5,137,16,153,30,28,7,21,5,2,3,18,13,5,7,0,1,1,2,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,8,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,1,7,0,1,100,,,,0.666666666666667,3.5,FALSE,1.3,1.75,3.5,5.25,5.7,0,0,0,0,0,0,,,,,0.142857142857143
Alir3z4/html2text,2019-01-01,37,84,2682,3349,6031,300,42,1440,1638,3078,158,42,1242,1711,2953,142,84,2682,3349,6031,300,42,1242,1711,2953,142,42,1440,1638,3078,158,103,20,83,5,15,5,78,18,16,12,0,5,41,10,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,9,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,1,11,0,1,100,,,,0.6,18,FALSE,1,1,1.5,14.75,51.5,0,0,0,0,0,0,,,,,0.0909090909090909
Alir3z4/html2text,2019-07-01,25,57,658,636,1294,136,27,313,310,623,67,30,345,326,671,69,57,658,636,1294,136,30,345,326,671,69,27,313,310,623,67,88,47,41,13,34,4,37,24,31,13,0,12,26,9,2015-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,10,2354108,2020-07-01,2021-01-01T00:00:00Z,,1,0,13,1,18,0,1,100,,,,0.294117647058824,1.5,FALSE,1,1,1.5,2,2,47,47,47,47,47,47,,,,,0.0555555555555556
