repo_name,time_period,prs_opened,commits,commit_additions,commit_deletions,commit_changes_total,commit_files_changed_count,pr_commits,pr_commit_additions,pr_commit_deletions,pr_commit_changes_total,pr_commit_files_changed_count,push_commits,push_commit_additions,push_commit_deletions,push_commit_changes_total,push_commit_files_changed_count,commits_lt100,commit_additions_lt100,commit_deletions_lt100,commit_changes_total_lt100,commit_files_changed_count_lt100,push_commits_lt100,push_commit_additions_lt100,push_commit_deletions_lt100,push_commit_changes_total_lt100,push_commit_files_changed_count_lt100,pr_commits_lt100,pr_commit_additions_lt100,pr_commit_deletions_lt100,pr_commit_changes_total_lt100,pr_commit_files_changed_count_lt100,comments,issue_comments,pr_comments,own_issue_comments,helping_issue_comments,own_pr_comments,helping_pr_comments,linked_pr_issue_comments,issues_opened,issues_opened_with_linked_pr,pr_reviews,pr_review_comments,prs_merged,issues_closed,first_period,final_period,closed_issue,closed_in_30_days,closed_in_60_days,closed_in_90_days,closed_in_180_days,closed_in_360_days,prs_closed_unmerged,p_prs_closed_unmerged,p_prs_merged,p_review_state_commented,p_review_state_approved,p_review_state_changes_requested,p_prs_merged_30d,p_prs_merged_60d,p_prs_merged_90d,p_prs_merged_180d,p_prs_merged_360d,prs_closed,p_prs_closed,mean_pr_reviews,time_index,departed_actor_id,last_pre_period,treatment_period,abandoned_date,treated_project,treatment,treatment_group,total_important,total_nodes,mean_cluster_overlap,avg_clusters_per_node,pct_nodes_one_cluster,HHI_normalized_degree,HHI_individual_coverage,HHI_individual_coverage_cluster,normalized_degree,imp_to_other_avg_edge_weight,important,imp_to_other_perc_10,imp_to_other_perc_25,imp_to_other_perc_50,imp_to_other_perc_75,imp_to_other_perc_90,imp_to_imp_avg_edge_weight,imp_to_imp_perc_10,imp_to_imp_perc_25,imp_to_imp_perc_50,imp_to_imp_perc_75,imp_to_imp_perc_90,individual_node_coverage,individual_coverage_cluster,overall_overlap,weighted_overall_overlap,prop_important
PulpQE/pulp-smash,2015-07-01,15,77,4417,1666,6083,201,18,1561,81,1642,41,59,2856,1585,4441,160,77,4417,1666,6083,201,59,2856,1585,4441,160,18,1561,81,1642,41,253,147,106,73,74,52,54,170,60,64,0,155,15,20,2015-07-01T00:00:00Z,2019-07-01,0.972972972972973,0.405405405405405,0.594594594594595,0.675675675675676,0.783783783783784,0.810810810810811,11,0.423076923076923,0.576923076923077,0,0,0,0.576923076923077,0.576923076923077,0.576923076923077,0.576923076923077,0.576923076923077,26,1,,2,48132,2017-01-01,2017-07-01,2020-01-01,1,0,6,1,14,0,1,100,,,,0.230769230769231,1.5,FALSE,1.1,1.25,1.5,1.75,1.9,32,32,32,32,32,32,,,,,0.0714285714285714
PulpQE/pulp-smash,2016-01-01,103,269,17258,9214,26472,875,125,8737,4190,12927,547,144,8521,5024,13545,328,269,17258,9214,26472,875,144,8521,5024,13545,328,125,8737,4190,12927,547,917,338,579,98,240,213,366,451,176,201,0,342,105,71,2015-07-01T00:00:00Z,2019-07-01,0.954954954954955,0.396396396396396,0.513513513513514,0.558558558558559,0.612612612612613,0.612612612612613,46,0.304635761589404,0.695364238410596,0,0,0,0.695364238410596,0.695364238410596,0.695364238410596,0.695364238410596,0.695364238410596,150,0.993377483443709,,3,48132,2017-01-01,2017-07-01,2020-01-01,1,0,6,2,22,77.4193548387097,1.57142857142857,42.8571428571429,0.51147842056933,0.51147842056933,0.51147842056933,0.476190476190476,6.125,FALSE,1,1.75,3,4,12.1,114,23.6,57.5,114,170.5,204.4,,,,,0.0909090909090909
PulpQE/pulp-smash,2016-07-01,79,148,8777,4118,12895,427,86,5423,2596,8019,289,62,3354,1522,4876,138,147,8539,3660,12199,317,62,3354,1522,4876,138,85,5185,2138,7323,179,459,83,376,19,64,124,252,147,44,83,0,88,79,25,2015-07-01T00:00:00Z,2019-07-01,,,,,,,,,,,,,,,,,,,,,4,48132,2017-01-01,2017-07-01,2020-01-01,1,0,6,3,18,89.2857142857143,1.82352941176471,35.2941176470588,0.342560553633218,0.344432882414152,0.344432882414152,0.588235294117647,2.375,TRUE,1.7,2,2,3,3.3,51,38.2,43,51,59,63.8,50,52.9411764705882,87.5,84.2105263157895,0.166666666666667
PulpQE/pulp-smash,2017-01-01,123,159,9263,4516,13779,343,128,8804,4443,13247,308,31,459,73,532,35,159,9263,4516,13779,343,31,459,73,532,35,128,8804,4443,13247,308,567,123,444,29,94,133,311,159,89,100,0,108,122,45,2015-07-01T00:00:00Z,2019-07-01,,,,,,,,,,,,,,,,,,,,,5,48132,2017-01-01,2017-07-01,2020-01-01,1,0,6,2,16,80,1.57142857142857,42.8571428571429,0.516528925619835,0.516528925619835,0.516528925619835,0.6,13.75,TRUE,1,1,2,6.5,33.8,57,57,57,57,57,57,56.25,64.2857142857143,100,100,0.125
PulpQE/pulp-smash,2017-07-01,34,89,21918,21219,43137,828,36,20250,19659,39909,644,53,1668,1560,3228,184,88,4191,3460,7651,411,53,1668,1560,3228,184,35,2523,1900,4423,227,287,127,160,33,94,58,102,130,80,72,0,102,56,46,2015-07-01T00:00:00Z,2019-07-01,,,,,,,,,,,,,,,,,,,,,6,48132,2017-01-01,2017-07-01,2020-01-01,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PulpQE/pulp-smash,2018-01-01,70,142,5035,4083,9118,499,71,2523,2020,4543,305,71,2512,2063,4575,194,142,5035,4083,9118,499,71,2512,2063,4575,194,71,2523,2020,4543,305,309,104,205,31,73,104,101,155,83,100,0,148,130,63,2015-07-01T00:00:00Z,2019-07-01,,,,,,,,,,,,,,,,,,,,,7,48132,2017-01-01,2017-07-01,2020-01-01,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PulpQE/pulp-smash,2018-07-01,34,65,3517,49092,52609,745,35,2720,25224,27944,393,30,797,23868,24665,352,63,3107,10530,13637,299,29,592,4587,5179,129,34,2515,5943,8458,170,97,39,58,4,35,29,29,61,29,38,0,40,45,50,2015-07-01T00:00:00Z,2019-07-01,,,,,,,,,,,,,,,,,,,,,8,48132,2017-01-01,2017-07-01,2020-01-01,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PulpQE/pulp-smash,2019-01-01,17,36,1736,216,1952,68,17,867,107,974,33,19,869,109,978,35,36,1736,216,1952,68,19,869,109,978,35,17,867,107,974,33,74,20,54,5,15,30,24,35,10,17,0,43,33,8,2015-07-01T00:00:00Z,2019-07-01,,,,,,,,,,,,,,,,,,,,,9,48132,2017-01-01,2017-07-01,2020-01-01,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PulpQE/pulp-smash,2019-07-01,6,14,267,93,360,25,6,116,43,159,11,8,151,50,201,14,14,267,93,360,25,8,151,50,201,14,6,116,43,159,11,15,2,13,0,2,4,9,13,2,11,0,17,12,96,2015-07-01T00:00:00Z,2019-07-01,,,,,,,,,,,,,,,,,,,,,10,48132,2017-01-01,2017-07-01,2020-01-01,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastai/fastai,2017-07-01,41,55,23890,20039,43929,210,55,23890,20039,43929,210,0,0,0,0,0,55,23890,20039,43929,210,0,0,0,0,0,55,23890,20039,43929,210,183,73,110,13,60,46,64,146,26,70,0,4,45,11,2017-07-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,6,35901082,2019-07-01,2020-01-01,,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
