type,author,date,text,url,repo_name,issue_number
IssueTitle,awwad,2018-12-14T21:00:42Z,Boundary between securesystemslib and TUF is off.,https://github.com/secure-systems-lab/securesystemslib/issues/161,secure-systems-lab/securesystemslib,161
IssueOpened,awwad,2018-12-14T21:00:42Z,"Some of the functions in securesystemslib are really pieces of TUF that I don't think are of use to others and don't belong here.

Some examples that IIUC don't belong in securesystemslib:

* util.ensure\_all\_targets\_allowed(rolename, list\_of\_targets, parent\_delegations)
* util.find\_delegated\_role(roles, delegated\_role)
* formats.NUMBINS\_SCHEMA
* formats.TARGETS\_SCHEMA
* formats.SNAPSHOT\_SCHEMA
* formats.TIMESTAMP\_SCHEMA
* formats.ROOT\_SCHEMA
* formats.MIRRORDICT\_SCHEMA
* formats.MIRRORLIST\_SCHEMA

Other functions that could conceivably be useful in general have zero context within the module:

* util.paths\_are\_consistent\_with\_hash\_prefixes(paths, path\_hash\_prefixes)
* formats.PROJECT\_CFG\_SCHEMA

Things I'm less sure about:

* formats.THRESHOLD\_SCHEMA
* exceptions.RoleAlreadyExistsError
* exceptions.UnknownRoleError
* formats.ROLENAME\_SCHEMA",https://github.com/secure-systems-lab/securesystemslib/issues/161,secure-systems-lab/securesystemslib,161
IssueComment,JustinCappos,2018-12-15T00:07:26Z,The general concept makes sense to me.,,secure-systems-lab/securesystemslib,161
IssueComment,lukpueh,2019-01-10T16:50:27Z,We have some utility functions implemented in in-toto that might be a good fit for securesystemslib (see [in-toto/in-toto#80](https://github.com/in-toto/in-toto/issues/80)).,,secure-systems-lab/securesystemslib,161
IssueComment,lukpueh,2019-01-10T16:54:28Z,IMHO [#35](https://github.com/secure-systems-lab/securesystemslib/issues/35) and [#75](https://github.com/secure-systems-lab/securesystemslib/issues/75) are also related to this issue.,,secure-systems-lab/securesystemslib,161
MentionedByPR,awwad,2019-01-10T19:56:34Z,Expect bytes in create\_ and verify\_signature; do not serialize,https://github.com/secure-systems-lab/securesystemslib/pull/162,secure-systems-lab/securesystemslib,161
MentionedByCommit,awwad,2019-04-03T21:03:12Z,Removes TUF-specific formats from formats.py,https://github.com/secure-systems-lab/securesystemslib/commit/406e05f9cbdaf9ba3fe2a6e6bdb82d56b8495ea5,secure-systems-lab/securesystemslib,161
MentionedByPR,awwad,2019-04-03T21:04:00Z,Removes unused and TUF-specific content from securesystemslib,https://github.com/secure-systems-lab/securesystemslib/pull/165,secure-systems-lab/securesystemslib,161
MentionedByCommit,lukpueh,2019-09-04T16:18:05Z,Removes TUF-specific formats from formats.py,https://github.com/secure-systems-lab/securesystemslib/commit/0cfe41826683b71733002e15ee25739dd2de2a4f,secure-systems-lab/securesystemslib,161
IssueComment,lukpueh,2019-09-06T08:25:01Z,Fixed with [#165](https://github.com/secure-systems-lab/securesystemslib/pull/165),,secure-systems-lab/securesystemslib,161
ClosedEvent,lukpueh,2019-09-06T08:25:01Z,Closed by lukpueh in ,,secure-systems-lab/securesystemslib,161
MentionedByCommit,tanishqjasoria,2020-01-30T19:04:31Z,Removes TUF-specific formats from formats.py,https://github.com/tanishqjasoria/securesystemslib/commit/e0b98498ad82a618174868e6fc8299db54dc35ac,secure-systems-lab/securesystemslib,161
