pc_score_subset,pc_score_label,att_high,att_others_wavg,difference,difference_p_value,difference_ci_lower,difference_ci_upper,count_high
collaboration_pc_score x discussion_quality_pc_score,Collaboration $\times$ Discussion quality,-0.788562590907139,-2.75714797447248,1.96858538356534,0.507844600867111,-3.86753315036651,7.8047039174972,181
collaboration_pc_score x investment_in_new_talent_pc_score,Collaboration $\times$ Investment in new talent,-1.11279946094715,-2.48877625799215,1.375976797045,0.674322575505397,-5.05959772092515,7.81155131501515,147
collaboration_pc_score x knowledge_level_pc_score,Collaboration $\times$ Knowledge level,0.974212028958541,-3.40198083266911,4.37619286162765,0.170129136891551,-1.88398041956998,10.6363661428253,166
collaboration_pc_score x problem_solving_routines_pc_score,Collaboration $\times$ Problem-solving routines,-2.41404568046562,-2.03816540295291,-0.375880277512712,0.901142640289759,-6.32059457676664,5.56883402174121,150
discussion_quality_pc_score x investment_in_new_talent_pc_score,Discussion quality $\times$ Investment in new talent,-2.86718430446386,-1.90287440138253,-0.964309903081334,0.769364365277057,-7.43013365361511,5.50151384745244,139
discussion_quality_pc_score x problem_solving_routines_pc_score,Discussion quality $\times$ Problem-solving routines,-9.28802897428116,0.0204509538719194,-9.30847992815307,0.0961731802262882,-20.2945512950987,1.67759143879257,133
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,Investment in new talent $\times$ Problem-solving routines,-1.89404346383008,-2.25915641575505,0.365112951924972,0.902205634377289,-5.46888712458186,6.19911302843181,193
knowledge_level_pc_score x discussion_quality_pc_score,Knowledge level $\times$ Discussion quality,-3.53837040020772,-1.54645053189744,-1.99191986831028,0.498720954392675,-7.77266657036456,3.78882683374399,170
knowledge_level_pc_score x investment_in_new_talent_pc_score,Knowledge level $\times$ Investment in new talent,-1.29451872019411,-2.36837480359513,1.07385608340102,0.769763504924681,-6.14816478143508,8.29587694823712,124
knowledge_level_pc_score x problem_solving_routines_pc_score,Knowledge level $\times$ Problem-solving routines,-4.0992670905384,-1.58993451359594,-2.50933257694245,0.461427184198007,-9.20903401735135,4.19036886346644,125
