pc_score_subset,pattern,rank,att_doubly_robust_mean,count
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,NA-high-low,4,77.8660516172283,2
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,NA-low-NA,3,121.725385552226,6
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,NA-low-high,12,-319.809095015761,1
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,NA-low-low,11,-110.637271061134,4
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,5,55.3270692688442,92
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,8,-16.7892272370806,89
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,7,18.1103592328447,55
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,1,340.532159936036,51
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,2,131.037571924101,47
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,9,-75.206248406419,63
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,6,25.9474454473429,85
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,10,-85.5294017147262,92
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,NA-high-high,4,94.133594593549,1
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,NA-high-low,6,61.5985086409077,1
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,NA-low-high,1,969.623749643877,6
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,NA-low-low,12,-1169.94967276204,5
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,3,127.47472755075,88
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,11,-80.404977645642,93
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,7,47.097122989193,62
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,2,350.981552027599,44
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,10,-58.1842249267073,45
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,5,62.1394208081569,65
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,8,-9.15566972691335,91
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,9,-56.1628622044366,86
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,NA-NA-high,1,1157.63337068131,5
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,NA-NA-low,13,-5057.8145400932,1
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,NA-high-low,12,-319.809095015761,1
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,NA-low-high,6,61.8546195251266,2
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,NA-low-low,10,-102.631555015083,4
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,5,67.0618240732857,104
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,8,-20.6574319321299,43
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,2,156.353182636079,46
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,4,94.1893078856512,94
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,7,22.6044054636912,89
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,3,147.73271295787,43
