covar,dataset,rolling,past_periods,percent_changed_from_0,percent_changed_from_1
avg_members_per_problem,important_thresh_exact1,rolling5,2,2.66229029905179,2.66229029905179
avg_members_per_problem,important_thresh_exact1,rolling5,3,4.48577680525164,4.48577680525164
avg_members_per_problem,important_thresh_exact1,rolling5,4,5.79868708971554,5.79868708971554
avg_members_per_problem,important_thresh_exact1,rolling5,5,6.89277899343545,6.89277899343545
pct_members_multiple,important_thresh_exact1,rolling5,2,2.69876002917578,2.5528811086798
pct_members_multiple,important_thresh_exact1,rolling5,3,4.33989788475565,4.19401896425967
pct_members_multiple,important_thresh_exact1,rolling5,4,6.16338439095551,6.01750547045952
pct_members_multiple,important_thresh_exact1,rolling5,5,7.22100656455142,7.07512764405544
proj_hhi_pull_request_review_comment,important_thresh_exact1,rolling5,2,1.875,2.34409553295002
proj_hhi_pull_request_review_comment,important_thresh_exact1,rolling5,3,2.79751332149201,6.37082601054482
proj_hhi_pull_request_review_comment,important_thresh_exact1,rolling5,4,3.94678492239468,6.83012259194396
proj_hhi_pull_request_review_comment,important_thresh_exact1,rolling5,5,5.45454545454545,7.02136938508504
proj_hhi_discussion_comment,important_thresh_exact1,rolling5,2,2.22465353756382,2.22465353756382
proj_hhi_discussion_comment,important_thresh_exact1,rolling5,3,3.97520058351568,3.97520058351568
proj_hhi_discussion_comment,important_thresh_exact1,rolling5,4,4.9598832968636,4.9598832968636
proj_hhi_discussion_comment,important_thresh_exact1,rolling5,5,5.68927789934355,5.68927789934355
proj_prob_hhi_issue_comment,important_thresh_exact1,rolling5,2,2.96406076324565,2.92918057100482
proj_prob_hhi_issue_comment,important_thresh_exact1,rolling5,3,5.00185253797703,4.96664195700519
proj_prob_hhi_issue_comment,important_thresh_exact1,rolling5,4,6.55798443868099,6.55798443868099
proj_prob_hhi_issue_comment,important_thresh_exact1,rolling5,5,7.48425342719526,7.48425342719526
proj_prob_hhi_pull_request_comment,important_thresh_exact1,rolling5,2,3.14557425018288,3.1101353823637
proj_prob_hhi_pull_request_comment,important_thresh_exact1,rolling5,3,5.0091407678245,4.97621661178193
proj_prob_hhi_pull_request_comment,important_thresh_exact1,rolling5,4,6.36197440585009,6.33004024881083
proj_prob_hhi_pull_request_comment,important_thresh_exact1,rolling5,5,7.64168190127971,7.61068422978412
