dataset,rolling,category,outcome,normalize,method,covar,split_value,event_time,estimate,sd,ci_low,ci_high
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-14,-1.9329766796249,0.696450289802028,-3.29801924763687,-0.567934111612921
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-13,0.188520150758797,0.663247664916152,-1.11144527247686,1.48848557399445
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-12,-0.574472544605719,0.440505117420408,-1.43786257474972,0.28891748553828
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-11,0.207534835036436,0.508352136239506,-0.788835351992995,1.20390502206587
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-10,0.129314724410093,0.410906303622553,-0.676061630690111,0.934691079510297
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-9,0.268715459919032,0.430611886741514,-0.575283838094336,1.1127147579324
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-8,0.506771445117408,0.313293227620054,-0.107283281017897,1.12082617125271
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-7,0.66473483075332,0.275369297635418,0.1250110073879,1.20445865411874
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-6,0.466401340959438,0.211756829803347,0.0513579545448768,0.881444727373998
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-5,0.145251503042414,0.132595242778501,-0.114635172803448,0.405138178888277
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-4,0.190295573646549,0.119357791667408,-0.0436456980215701,0.424236845314668
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-3,0.0807142045955727,0.112019789011766,-0.138844581867488,0.300272991058634
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-2,0.109567211128378,0.102353385562718,-0.0910454245745497,0.310179846831305
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",-1,0,0,0,0
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",0,-0.0523761661329681,0.164573202176875,-0.374939642399644,0.270187310133708
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",1,-0.711649772676318,0.149665192779731,-1.00499355052459,-0.418305994828045
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",2,-0.844910458878717,0.171206399839129,-1.18047500256341,-0.509345915194025
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",3,-0.863481741239513,0.189791832635287,-1.23547373320468,-0.491489749274351
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",4,-1.08183953256561,0.223058060792164,-1.51903333171825,-0.644645733412971
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",5,-1.12064436517151,0.247851563285348,-1.60643342921079,-0.634855301132223
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",6,-1.06504091789741,0.296857111974528,-1.64688085736748,-0.48320097842733
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",7,-1.15454014768554,0.360591610508062,-1.86129970428134,-0.447780591089742
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",8,-1.55704123138538,0.343873219026761,-2.23103274067783,-0.883049722092931
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",9,-1.5159869973633,0.326194953817854,-2.15532910684629,-0.876644887880302
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",10,-1.47934548284836,0.621034135521104,-2.69657238846972,-0.262118577226994
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",11,-1.19398237034874,0.586749506602124,-2.3440114032889,-0.0439533374085794
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",12,-0.932237479472171,1.04477902398296,-2.98000436647877,1.11552940753443
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,"","",13,-1.66377182352035,0.664664064003821,-2.96651338896784,-0.361030258072862
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-14,-1.11467814273923,0.521630442233247,-2.13707380951639,-0.0922824759620633
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-13,0.184812090850658,0.513934139405666,-0.822498822384447,1.19212300408576
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-12,-0.127808817412228,0.430403579770834,-0.971399833763063,0.715782198938607
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-11,0.189265118967771,0.415946588802915,-0.625990195085942,1.00452043302148
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-10,0.868048705340453,0.50044900983318,-0.112831353932581,1.84892876461349
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-9,0.284150695173404,0.30774898402523,-0.319037313516047,0.887338703862855
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-8,0.478831141305922,0.26803417277334,-0.0465158373298239,1.00417811994167
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-7,0.698421087735174,0.249343230109126,0.209708356721288,1.18713381874906
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-6,0.531965270435999,0.212347787781834,0.115763606383605,0.948166934488393
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-5,0.215258201856148,0.125830632133627,-0.0313698371257601,0.461886240838056
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-4,0.2285165187842,0.122760433767401,-0.0120939313999055,0.469126968968305
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-3,0.110656869542521,0.111444830984214,-0.107774999186538,0.329088738271581
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-2,0.0112974317307436,0.0987304310471949,-0.182214213121758,0.204809076583246
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",-1,0,0,0,0
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",0,0.0158045240394234,0.207341959774196,-0.390585717118001,0.422194765196848
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",1,-0.75283295820483,0.112339636736454,-0.97301864620828,-0.53264727020138
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",2,-0.947108081469306,0.134133041047303,-1.21000884192202,-0.684207321016594
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",3,-0.813689939564705,0.19845398603671,-1.20265975219666,-0.424720126932753
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",4,-1.07075446441844,0.251010161756203,-1.5627343814606,-0.578774547376283
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",5,-1.21453121772845,0.280145110850427,-1.76361563499528,-0.665446800461609
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",6,-1.1526238382788,0.328523327836409,-1.79652956083817,-0.508718115719444
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",7,-1.08597892530186,0.492217759944381,-2.05072573479285,-0.121232115810873
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",8,-1.51370779078542,0.370964297710068,-2.24079781429715,-0.786617767273687
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",9,-1.47510762190485,0.399368224022321,-2.2578693409886,-0.692345902821103
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",10,-1.661801872337,0.62821230110748,-2.89309798250766,-0.430505762166339
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",11,-1.42196623882261,0.594217349003747,-2.58663224286995,-0.257300234775267
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",12,-1.59231745212878,0.612538090726044,-2.79289210995182,-0.39174279430573
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,"","",13,-1.76615680260388,0.714699723792785,-3.16696826123774,-0.365345343970024
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-14,0.183870244458474,0.333654248242862,-0.470092082097536,0.837832571014484
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-13,0.298462309512198,0.267104355089551,-0.225062226463322,0.821986845487718
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-12,0.491550133951765,0.199489396605262,0.100550916605453,0.882549351298078
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-11,0.432172573635157,0.18081205614398,0.0777809435929555,0.786564203677358
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-10,0.57201199120636,0.175026222755251,0.228960594606068,0.915063387806653
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-9,0.443190272302383,0.182182616865471,0.0861123432460605,0.800268201358705
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-8,0.352156122912273,0.176162845009437,0.00687694669377725,0.697435299130769
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-7,0.246419276865773,0.186737959432334,-0.119587123621601,0.612425677353147
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-6,0.445562075596782,0.20615785605141,0.0414926777360185,0.849631473457545
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-5,0.263537193301327,0.114230623749815,0.0396451707516894,0.487429215850964
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-4,0.079569246746284,0.105978907107192,-0.128149411183812,0.28728790467638
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-3,-0.0228025861200886,0.0975243634218816,-0.213950338426977,0.168345166186799
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-2,-0.0463581487380149,0.0969229948614791,-0.236327218666514,0.143610921190484
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",-1,0,0,0,0
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",0,-0.102696715272897,0.163680878684136,-0.423511237493803,0.218117806948009
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",1,-0.487714098131501,0.121341333731548,-0.725543112245334,-0.249885084017667
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",2,-0.610626990199248,0.109025650082684,-0.824317264361308,-0.396936716037188
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",3,-0.38573909238707,0.164545358950736,-0.708247995930512,-0.0632301888436283
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",4,-0.491282897815479,0.199152244201191,-0.881621296449812,-0.100944499181146
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",5,-0.447059620331982,0.206477674650671,-0.851755862647298,-0.0423633780166666
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",6,-0.467268905201098,0.209472260489478,-0.877834535760475,-0.0567032746417206
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",7,-0.34250277879599,0.269108879179618,-0.869956181988041,0.184950624396062
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",8,-0.518540807255335,0.308924502619714,-1.12403283238997,0.0869512178793035
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",9,-0.567726364001382,0.205597260649002,-0.970696994873425,-0.164755733129338
important_topk_exact1,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",10,-0.726337778690728,0.323141340253334,-1.35969480558726,-0.092980751794194
