qualified_sample,covar_type,outcome,category,normalize,split_folder,split_value,estimation_type,event_time,estimate,sd,ci_low,ci_high
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-15,-0.283114466093816,0.543708870188294,-1.34878385166287,0.782554919475241
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-14,-1.29947780205352,0.456592975901207,-2.19440003481989,-0.404555569287158
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-13,-0.0559612818001385,0.399226300070306,-0.838444829937938,0.726522266337661
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-12,0.55396431938752,0.473515351341114,-0.374125769241065,1.4820544080161
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-11,0.542754193814508,0.449755588091267,-0.338766758844376,1.42427514647339
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-10,1.04648797005978,0.591412623947656,-0.112680772877624,2.20565671299719
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-9,0.331322291427731,0.376390058040858,-0.406402222332349,1.06904680518781
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-8,0.87219072825142,0.516276529008859,-0.139711268605945,1.88409272510878
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-7,0.188278204520415,0.256960600177888,-0.315364571828244,0.691920980869075
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-6,0.631021730451767,0.399837475144301,-0.152659720831063,1.4147031817346
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-5,-0.0446512016296744,0.192179628480539,-0.42132327345153,0.332020870192182
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-4,0.181978916691265,0.176678851047539,-0.164311631361912,0.528269464744442
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-3,0.344291007637501,0.180223864953715,-0.00894776767178085,0.697529782946784
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-2,0.412341302227235,0.157804353969273,0.103044768447459,0.72163783600701
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,-1,0,0,0,0
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,0,0.200414625379301,0.182124315658599,-0.156549033311553,0.557378284070155
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,1,0.307599928608171,0.218865836205013,-0.121377110353655,0.736576967569997
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,2,0.128932271884375,0.174109806122385,-0.212322948115499,0.470187491884249
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,3,0.196201286886306,0.193457704081126,-0.182975813112701,0.575378386885314
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,4,0.823556715468257,0.340667145600563,0.155849110091152,1.49126432084536
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,5,0.706980104134786,0.348970861923616,0.0229972147644986,1.39096299350507
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,6,0.941836019889913,0.46182909366079,0.0366509963147644,1.84702104346506
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,7,0.481972803279042,0.263359853494417,-0.0342125095700148,0.9981581161281
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,8,0.573070066307499,0.372345087418303,-0.156726305032376,1.30286643764737
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,9,0.657403674458715,0.58092539023299,-0.481210090397946,1.79601743931538
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,10,-0.378463596346089,0.465590378304594,-1.29102073782309,0.534093545130915
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,high,observed,11,-0.921408389077806,0.355703388427168,-1.61858703039506,-0.224229747760557
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,-15,-1.38338269022665,0.559747746187222,-2.4804882727536,-0.286277107699692
