event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type
-14,-1.0040733629100367,1.0422225166975898,-3.0468294956373128,1.0386827698172394,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-13,-0.6216668286426111,0.8698732919768409,-2.3266184809172192,1.0832848236319972,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-12,0.34904752841701214,0.8555273899962785,-1.3277861559756938,2.025881212809718,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-11,0.7044005998274221,0.8959657408719867,-1.0516922522816716,2.460493451936516,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-10,0.6911420829998065,0.8980532762542869,-1.0690423384585956,2.4513265044582084,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-9,-0.3993441916008965,0.4241368507731708,-1.2306524191163113,0.43196403591451826,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-8,0.3120660428708607,0.41734682283407293,-0.5059337298839223,1.1300658156256436,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-7,0.8883566070613199,0.4774571824006286,-0.04745947044391219,1.824172684566552,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-6,0.4828669438186391,0.37286633801702795,-0.2479510786947357,1.213684966332014,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-5,0.21610484152340906,0.24270264454350027,-0.2595923417818514,0.6918020248286696,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-4,0.3437681172867083,0.22050497721252665,-0.08842163804984393,0.7759578726232605,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-3,0.03275818690054946,0.17867405636315842,-0.317442963571241,0.38295933737234,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-2,0.1940653525560599,0.16912854842581165,-0.13742660235853094,0.5255573074706508,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
-1,0,0,0,0,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
0,0.6721478247766715,0.35343875805256036,-0.020592141006346876,1.3648877905596897,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
1,-0.16449467320747788,0.32918127619972787,-0.8096899745589445,0.48070062814398873,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
2,-0.24599008797093247,0.3580142697139533,-0.9476980566102808,0.4557178806684159,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
3,-0.3567983572371985,0.3040402926698192,-0.9527173308700441,0.23912061639564713,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
4,-0.27842265596747184,0.38232511669713765,-1.0277798846938615,0.4709345727589179,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,observed
