sample,covar_type,outcome,normalize,split_value,event_time,p2.5,p50,p97.5,draw_kstar,actual
exact1,pc_score_binary,pull_request_opened,TRUE,high,-5,-0.101948208641679,0.284697663404243,0.670920450585892,0.629375751750238,0.244296462396419
exact1,pc_score_binary,pull_request_opened,TRUE,high,-4,-0.160450451648035,0.215805342129252,0.590410405084923,0.382300902150059,0.206315751791113
exact1,pc_score_binary,pull_request_opened,TRUE,high,-3,-0.192632886537559,0.132814584237392,0.471993443382035,0.263318744990526,0.267074007462368
exact1,pc_score_binary,pull_request_opened,TRUE,high,-2,-0.236368669192895,0.0811235210654637,0.417920947393268,0.199949636683886,0.368250634255402
exact1,pc_score_binary,pull_request_opened,TRUE,high,-1,0,0,0,0,0
exact1,pc_score_binary,pull_request_opened,TRUE,high,0,-0.292415330154981,0.15713316358488,0.798354709670107,0.457332843557006,0.155967678833233
exact1,pc_score_binary,pull_request_opened,TRUE,high,1,-0.766898839652461,-0.353464672562994,0.189282718180567,0.298796861686177,0.181465689551803
exact1,pc_score_binary,pull_request_opened,TRUE,high,2,-0.801378956278569,-0.364910429726785,0.194857219822804,-0.0216833997063199,0.0772932685439853
exact1,pc_score_binary,pull_request_opened,TRUE,high,3,-0.796301614271711,-0.39788666578184,0.122540959488963,-0.384887766879955,0.279051911513625
exact1,pc_score_binary,pull_request_opened,TRUE,high,4,-0.837399273041941,-0.390015032613776,0.122339851371202,-0.0474287714176004,0.157435705122459
exact1,pc_score_binary,pull_request_opened,TRUE,high,5,-0.910805066647165,-0.409556030880762,0.0600336339227402,-0.105948327884034,0.0421478550124635
exact1,pc_score_binary,pull_request_opened,TRUE,low,-5,-0.303386836166783,0.0342739741859956,0.403589107804305,-0.019180082814023,0.08148550991143
exact1,pc_score_binary,pull_request_opened,TRUE,low,-4,-0.312449253879869,0.0142959834807873,0.356672604224332,-0.118530130224281,-0.0664535310227105
exact1,pc_score_binary,pull_request_opened,TRUE,low,-3,-0.368627184284148,-0.00906212714840457,0.286599600249693,-0.135979895393613,-0.0395770793107765
exact1,pc_score_binary,pull_request_opened,TRUE,low,-2,-0.332852946800038,-0.00946619723767365,0.289084527160382,0.0506247247746763,0.0565365566648073
exact1,pc_score_binary,pull_request_opened,TRUE,low,-1,0,0,0,0,0
exact1,pc_score_binary,pull_request_opened,TRUE,low,0,-0.26459907080611,0.173443138833749,0.679617368473377,0.0845540822550059,-0.282469736424119
exact1,pc_score_binary,pull_request_opened,TRUE,low,1,-0.425845608559778,-0.0379949020733364,0.49295822340714,-0.330620502834711,-1.14231955787736
exact1,pc_score_binary,pull_request_opened,TRUE,low,2,-0.42061674298245,0.0205683630578677,0.500316667920466,-0.30370907872352,-1.19075551659541
exact1,pc_score_binary,pull_request_opened,TRUE,low,3,-0.395407992699449,0.0696812031791435,0.671179586790113,0.635178363181523,-1.36215638051556
exact1,pc_score_binary,pull_request_opened,TRUE,low,4,-0.308603347498831,0.167120782815493,0.637652116493798,-0.0834500698879566,-1.24214787499761
exact1,pc_score_binary,pull_request_opened,TRUE,low,5,-0.252899523913591,0.235192141232666,0.765586455649509,0.143892327881239,-1.36023290402823
exact2,pc_score_binary,pull_request_opened,TRUE,high,-5,0.417825816615279,0.748016925546307,1.16994341631588,0.698560420066676,0.232750448973817
exact2,pc_score_binary,pull_request_opened,TRUE,high,-4,0.301386802271682,0.584835857267422,0.958112749921571,0.419515075262956,0.280089859901204
exact2,pc_score_binary,pull_request_opened,TRUE,high,-3,0.16645603913559,0.431758182683404,0.73415584097287,0.327627763013126,0.250473416823779
exact2,pc_score_binary,pull_request_opened,TRUE,high,-2,-0.0154440621731019,0.224639493171529,0.464446868740739,0.155390300393547,0.513246595632425
exact2,pc_score_binary,pull_request_opened,TRUE,high,-1,0,0,0,0,0
exact2,pc_score_binary,pull_request_opened,TRUE,high,0,-0.34351488246692,-0.0290373406693461,0.377077712414545,-0.111246626781179,0.589468237524754
exact2,pc_score_binary,pull_request_opened,TRUE,high,1,0.465973059957695,0.941457588070804,1.41328570205509,1.06970847598888,0.262368541375462
exact2,pc_score_binary,pull_request_opened,TRUE,high,2,0.247057856167048,0.748515055165727,1.2989979486722,0.668417077008377,0.515539072577283
exact2,pc_score_binary,pull_request_opened,TRUE,high,3,0.156161242648015,0.637386534003008,1.22838535431978,0.234204711791417,0.679760504076217
exact2,pc_score_binary,pull_request_opened,TRUE,high,4,0.033055401902862,0.571309792658484,1.13504323008766,0.735752598737641,0.880242534213864
exact2,pc_score_binary,pull_request_opened,TRUE,high,5,-0.0673940115978331,0.541489540128884,1.13508774949101,0.531956452800618,0.888765755761807
exact2,pc_score_binary,pull_request_opened,TRUE,low,-5,0.0249269840776794,0.328544375177737,0.639258259784582,0.126690641201767,0.296039212578307
exact2,pc_score_binary,pull_request_opened,TRUE,low,-4,0.00806820509813997,0.298773126192566,0.571650871462951,0.139031360087133,0.183552396118984
exact2,pc_score_binary,pull_request_opened,TRUE,low,-3,-0.0264909540843262,0.221910669233171,0.479469918302353,0.24753751328945,0.0437354195504019
exact2,pc_score_binary,pull_request_opened,TRUE,low,-2,-0.111218912396103,0.11933187115727,0.353351696548344,0.153645009619381,0.284104494730165
exact2,pc_score_binary,pull_request_opened,TRUE,low,-1,0,0,0,0,0
exact2,pc_score_binary,pull_request_opened,TRUE,low,0,-0.277054656462634,0.0241731109610154,0.357943749937288,-0.154302496175206,-0.767141985613489
exact2,pc_score_binary,pull_request_opened,TRUE,low,1,0.965034593620847,1.40008417660481,1.99435267362044,0.97132936091363,-1.78301907019229
exact2,pc_score_binary,pull_request_opened,TRUE,low,2,0.774454580366787,1.25954329880184,1.87452802867314,1.17291081563424,-2.38337504844124
exact2,pc_score_binary,pull_request_opened,TRUE,low,3,0.612988910257711,1.10290266283244,1.70387774274565,0.663088901186109,-2.90983830483049
exact2,pc_score_binary,pull_request_opened,TRUE,low,4,0.487817162721357,0.991792666002782,1.56168821128021,0.691554418724797,-3.65896587415344
exact2,pc_score_binary,pull_request_opened,TRUE,low,5,0.277281222331546,0.912867314111012,1.52510675479563,0.743582729365722,-3.98541246727446
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,-5,0.336790085926956,0.612176577128161,0.912124679846486,0.67739433432603,0.236282790979818
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,-4,0.258903494308288,0.475463950065684,0.732808017600774,0.408129917278645,0.257519698972546
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,-3,0.123225849850011,0.339914151581695,0.560988401940483,0.307953314576988,0.255552136334215
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,-2,-0.030566327823197,0.185187908453013,0.367308234082886,0.169022608756345,0.468887100599272
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,-1,0,0,0,0,0
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,0,-0.229480918373151,0.0310237705629383,0.365524062511443,0.0627023435962564,0.456844778929631
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,1,0.212296492078279,0.538687214621059,0.930138512340102,0.833858804033262,0.237617440589228
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,2,0.060942676688963,0.407219734695738,0.796827370584008,0.45729044714589,0.381463872256594
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,3,-0.0155816751075163,0.341054180989991,0.791177516919391,0.0448019900061113,0.557169290826474
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,4,-0.124888476339636,0.288183563363661,0.70208401584508,0.496149165859097,0.659109851341151
