time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,3,"[2567045, 5832158, 10682054]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[2567045],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[2567045, 3359887, 3754799, 39237502]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[2567045],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[636471, 2567045, 15069160]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2567045],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[636471, 2567045, 13774070]",1,[2567045],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[13774070],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,7,"[2567045, 4113693, 4918549, 6608848, 20721017, 44948570, 57196993]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[2567045],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[2567045, 31362395, 91585528]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[91585528],0,[],0,[],2,
