time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,5,"[241032, 6081828, 6733106, 28214667, 76759714]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[241032],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[241032, 43753807, 53786253, 76759714]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[241032, 76759714]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,8,"[241032, 424032, 1767300, 5590860, 12225123, 18667115, 21365711, 76759714]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[241032],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[241032, 21365711, 32730812]",1,[241032],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[241032],1,[241032],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[241032, 482903, 12646721, 62213437, 76759714]",1,[241032],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[241032],1,[241032],0,[],2,
2024-07,top_k,3,degree_centrality_z,20,"[241032, 482903, 487995, 763230, 4866761, 11809145, 17940898, 21365711, 23445216, 25284325, 32919883, 34683587, 46856376, 48387052, 67909939, 82668939, 95505675, 110282973, 159531278, 173892925]",1,[241032],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[241032],1,[241032],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[241032, 7350077, 58706956, 61922887, 76759714]",1,[241032],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[241032],1,[241032],0,[],2,
