time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,4,"[555011, 7226201, 9261167, 49431240]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[49431240],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[11523915, 39514782, 49431240, 52834821]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[49431240],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[39514782, 49431240, 52834821]",1,[49431240],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[49431240],1,[49431240],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[22429695, 39514782, 49431240, 49699333]",2,"[39514782, 49431240]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[39514782, 49431240]",1,[49431240],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[22429695, 39514782, 49431240, 49699333]",2,"[39514782, 49431240]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[49431240],1,[49431240],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[22429695, 39514782, 49431240]",3,"[22429695, 39514782, 49431240]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[49431240],1,[49431240],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[22429695, 33202569, 39514782, 49431240, 49699333]",3,"[22429695, 39514782, 49431240]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[49431240],1,[49431240],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[22429695, 39514782, 49431240]",3,"[22429695, 39514782, 49431240]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[49431240],1,[49431240],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[22429695, 39514782, 49431240, 49699333]",3,"[22429695, 39514782, 49431240]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[49431240],1,[49431240],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[22429695, 39514782, 49431240]",3,"[22429695, 39514782, 49431240]",1,[22429695],,3
2024-01,z_thresh,3,degree_centrality_z,1,[49431240],1,[49431240],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[2574598, 39514782, 49431240, 49699333]",2,"[39514782, 49431240]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[39514782],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[39514782, 49431240, 49699333]",2,"[39514782, 49431240]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[49431240],0,[],0,[],2,
