time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,3,"[797801, 8655789, 22429695]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[797801],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[797801, 22429695, 27856297, 49699333]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[797801],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[329822, 797801, 1936730, 22429695]",2,"[797801, 22429695]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[797801],1,[797801],0,[],2,
2021-01,top_k,3,degree_centrality_z,6,"[797801, 1024284, 15668267, 22429695, 27856297, 49699333]",2,"[797801, 22429695]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[797801, 22429695]",1,[797801],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[797801, 9107969, 22429695, 49699333]",2,"[797801, 22429695]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[797801, 22429695]",1,[797801],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[797801, 9107969, 22429695, 49699333]",3,"[797801, 22429695, 49699333]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[797801, 22429695]",2,"[797801, 22429695]",0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[797801, 3474095, 22429695, 49699333]",3,"[797801, 22429695, 49699333]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[797801, 22429695, 49699333]",3,"[797801, 22429695, 49699333]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[797801, 9107969, 22429695, 49699333]",3,"[797801, 22429695, 49699333]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[797801, 22429695]",1,[22429695],0,[],2,
2024-01,top_k,3,degree_centrality_z,7,"[329822, 797801, 1660326, 15668267, 22429695, 49699333, 51676687]",3,"[797801, 22429695, 49699333]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[797801],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[797801, 22429695, 49699333]",3,"[797801, 22429695, 49699333]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[797801],1,[797801],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[797801, 22429695, 49699333]",3,"[797801, 22429695, 49699333]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[797801],1,[797801],0,[],2,
