time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,3,"[13308504, 42012902, 57180217]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[57180217],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,6,"[7572268, 36754821, 42012902, 57180217, 68982558, 71061816]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[57180217],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[36754821, 42012902, 57180217, 72381315]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[57180217],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[996797, 57180217, 84433690]",1,[57180217],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[996797],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[57180217, 72381315, 110257462, 126728221]",1,[57180217],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[57180217],0,[],0,[],2,
