time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,8,"[166269, 735108, 1005398, 6704113, 6898551, 9809130, 17260552, 19982018]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[166269],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[166269, 1540275, 22429695]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[166269, 1540275]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[166269, 1540275, 22429695]",1,[166269],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[166269],1,[166269],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[166269, 22429695, 48661380]",2,"[166269, 22429695]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[166269],1,[166269],0,[],2,
2019-07,top_k,3,degree_centrality_z,12,"[166269, 822237, 4364290, 5785360, 8693632, 9435877, 22429695, 28704713, 35214933, 50338156, 53622774, 58845131]",2,"[166269, 22429695]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[166269],1,[166269],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[166269, 4076390, 9435877, 22429695]",2,"[166269, 22429695]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[166269],1,[166269],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[166269, 4215464, 22429695]",2,"[166269, 22429695]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[166269],1,[166269],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[98194, 166269, 4215464, 4664534, 71179739]",1,[166269],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[166269],1,[166269],0,[],2,
2021-07,top_k,3,degree_centrality_z,7,"[166269, 814112, 4076390, 39911978, 40526466, 45053883, 64586748]",1,[166269],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[166269],1,[166269],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[166269, 814112, 1007429, 1084584]",1,[166269],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[166269, 1007429]",1,[166269],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[166269, 814112, 25180342, 28567780, 76561516]",2,"[166269, 814112]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[166269],1,[166269],0,[],2,
