time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[223335, 243823, 356399]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[356399],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,6,"[223335, 323442, 356399, 576330, 2184696, 2255508]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[356399],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[323442, 356399, 1482781, 3146062]",1,[356399],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,4,"[323442, 356399, 1482781, 3146062]",1,[356399],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[128121, 223335, 356399, 8655789, 12687866]",1,[356399],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[356399],1,[356399],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[223335, 3602533, 4802083, 8655789]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[223335, 8655789]",0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[356399, 4039449, 22429695]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[356399],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[356399, 3602533, 22429695]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[356399, 22429695]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,8,"[65043, 356399, 1154368, 3602533, 16239342, 21206330, 22429695, 31301654]",2,"[356399, 22429695]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[356399],1,[356399],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[356399, 22429695, 28622118]",2,"[356399, 22429695]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,3,"[356399, 22429695, 28622118]",1,[356399],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[356399, 22429695, 25040297]",2,"[356399, 22429695]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[356399],1,[356399],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[11735949, 22429695, 27856297, 29460401, 49337203]",1,[22429695],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[356399, 2203121, 22429695]",1,[22429695],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[356399],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[2203121, 22429695, 29487864]",1,[22429695],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[2203121, 22429695]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[2203121, 22429695, 49699333]",2,"[2203121, 22429695]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[2203121, 22429695]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,7,"[356399, 2203121, 6798399, 11596458, 22429695, 49699333, 66853113]",2,"[2203121, 22429695]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2203121, 22429695, 49699333]",3,"[2203121, 22429695, 49699333]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[2203121, 22429695]",1,[22429695],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[578543, 2203121, 22429695, 49699333, 66853113]",3,"[2203121, 22429695, 49699333]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[2203121, 22429695, 49699333]",3,"[2203121, 22429695, 49699333]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[2203121],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[578543, 2203121, 22429695, 49699333]",3,"[2203121, 22429695, 49699333]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[2203121, 22429695]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,8,"[356399, 2203121, 15892014, 22429695, 40021956, 49337203, 49699333, 66853113]",3,"[2203121, 22429695, 49699333]",1,[2203121],,3
2024-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[356399, 22429695, 49699333, 66853113]",2,"[22429695, 49699333]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
