time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,4,"[1401201, 3824889, 28239464, 43566084]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[28239464],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[1278451, 8158277, 28239464, 29565369]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[28239464],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,10,"[1278451, 1401201, 3824889, 7772481, 8158277, 18643888, 28239464, 29565369, 46860462, 53514808]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[28239464],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[18643888, 28239464, 46860462, 77279318]",1,[28239464],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[28239464],1,[28239464],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[20142276, 22498435, 28239464, 44854879]",1,[28239464],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[28239464],1,[28239464],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[857929, 28239464, 44854879]",1,[28239464],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[28239464],1,[28239464],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[6045025, 28239464, 31614926, 41358804]",1,[28239464],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[28239464],1,[28239464],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[4693062, 12394806, 19924822, 28239464]",1,[28239464],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[28239464],1,[28239464],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[19754566, 20038172, 28239464]",1,[28239464],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[28239464],1,[28239464],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[812086, 8158277, 8715980, 12019216, 28239464]",1,[28239464],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[28239464],1,[28239464],0,[],2,
2024-07,top_k,3,degree_centrality_z,8,"[101457, 387802, 858426, 5162985, 24492317, 28239464, 32157288, 73704981]",1,[28239464],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[5162985, 24492317]",0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[101457, 212377, 28239464, 43974038]",1,[28239464],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[28239464],0,[],0,[],2,
