time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,3,"[5366525, 16991365, 32885386]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[16991365],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[16622328, 16991365, 19700458, 43971633]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[16991365],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[1690672, 2341306, 9008997, 16991365, 50266741]",1,[16991365],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[16991365],1,[16991365],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[11152427, 16991365, 35134082]",1,[16991365],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[16991365],1,[16991365],0,[],2,
2020-01,top_k,3,degree_centrality_z,7,"[8035828, 11053130, 16991365, 27856297, 35134082, 35413558, 43144390]",1,[16991365],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[16991365],1,[16991365],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[2741725, 16991365, 28530057]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2741725],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[951586, 16991365, 22429695, 49699333]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[16991365, 22429695]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[16157080, 16991365, 22429695]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[16991365],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[16991365, 22429695, 49699333]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[16991365],0,[],0,[],2,
