time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,4,"[1322974, 17453707, 19677146, 27746560]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1322974],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[90008, 1322974, 5382885]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1322974],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[1322974, 8655789, 24531131]",1,[1322974],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[1322974, 5382885, 40671803]",1,[1322974],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2020-01,top_k,3,degree_centrality_z,9,"[1300499, 1322974, 4145914, 27746560, 40218891, 43612194, 54732707, 59101626, 59478987]",1,[1322974],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2020-07,top_k,3,degree_centrality_z,6,"[765871, 918614, 1322974, 4623504, 5382885, 75709773]",1,[1322974],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2021-01,top_k,3,degree_centrality_z,9,"[918614, 1322974, 2260417, 3017846, 16525995, 47218099, 71766780, 72083618, 75709773]",1,[1322974],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2021-07,top_k,3,degree_centrality_z,7,"[1322974, 4141126, 4238978, 14921460, 57348351, 89730989, 93933935]",1,[1322974],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2022-01,top_k,3,degree_centrality_z,8,"[1300499, 1322974, 4238978, 51425252, 65115609, 70640397, 72234965, 104115572]",1,[1322974],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2022-07,top_k,3,degree_centrality_z,11,"[1300499, 1322974, 3136164, 3375071, 3960822, 4443482, 11801682, 61120205, 85081861, 104115572, 111063323]",1,[1322974],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2023-01,top_k,3,degree_centrality_z,10,"[302469, 1322974, 4443482, 10958499, 11801682, 17612811, 42050893, 50218832, 72234965, 85081861]",1,[1322974],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[985548, 1020594, 1322974, 68167524, 92811560]",1,[1322974],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2024-01,top_k,3,degree_centrality_z,11,"[241039, 918614, 1322974, 7886676, 17612811, 18016749, 30418939, 35605235, 83587237, 96808410, 169980696]",1,[1322974],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2024-07,top_k,3,degree_centrality_z,8,"[1322974, 1725098, 3960822, 4492203, 23311681, 23492126, 129726439, 165289463]",1,[1322974],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
2025-01,top_k,3,degree_centrality_z,5,"[670607, 1322974, 25191436, 30418939, 130938293]",1,[1322974],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1322974],1,[1322974],0,[],2,
