time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-01,top_k,3,degree_centrality_z,3,"[1260690, 5781356, 30267855]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[5781356],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,9,"[364860, 1260690, 1672192, 5781356, 9920591, 30267855, 32749632, 34477873, 49699333]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[5781356],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,8,"[806360, 1260690, 5781356, 9920591, 30267855, 32749632, 45432694, 66251151]",3,"[1260690, 5781356, 30267855]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[5781356],1,[5781356],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1260690, 5781356, 9920591]",3,"[1260690, 5781356, 9920591]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[5781356],1,[5781356],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[39340, 5781356, 9920591]",2,"[5781356, 9920591]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[5781356],1,[5781356],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[102495, 5781356, 9920591, 30267855, 34477873]",2,"[5781356, 9920591]",1,[9920591],,3
2024-07,z_thresh,3,degree_centrality_z,1,[5781356],1,[5781356],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[5781356, 30267855, 49699333]",1,[5781356],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[5781356],1,[5781356],0,[],2,
