time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,3,"[17132317, 31598395, 56034869]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[31598395],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,10,"[1734704, 6081039, 8433487, 12765385, 17132317, 31598395, 48182704, 54527765, 70895527, 83828302]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[31598395],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,11,"[8433487, 17132317, 31598395, 44391679, 48182704, 62557442, 63258372, 64082573, 70895527, 76622105, 86119916]",2,"[17132317, 31598395]",1,[17132317],,3
2021-07,z_thresh,3,degree_centrality_z,1,[31598395],1,[31598395],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[847743, 31598395, 44391679, 70895527]",2,"[31598395, 70895527]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[847743, 70895527]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[33726642, 39876427, 70895527, 122310107]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[33726642],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[5760352, 8359342, 31598395, 35060671]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[5760352],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[2033938, 5760352, 8449903]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[2033938],0,[],0,[],2,
