time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,3,"[2270833, 2630620, 3266662]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2270833],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[508912, 2270833, 3692455, 18363301]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[2270833],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[2270833, 2630620, 14963658, 18363301]",1,[2270833],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[2270833],1,[2270833],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[2270833, 7826876, 14963658]",1,[2270833],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2270833],1,[2270833],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[2630620, 5820980, 34475852]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[34475852],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[585187, 2630620, 3780425, 5820980]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[5820980],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[585187, 1738052, 3780425]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[585187, 3780425]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[585187, 3780425, 5820980, 22429695]",2,"[585187, 3780425]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[3780425, 22429695]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[3155623, 3780425, 46480158]",1,[3780425],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,4,"[3155623, 3780425, 22429695, 46480158]",1,[3780425],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[585187, 3155623, 5367773]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[3155623, 5367773]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[585187, 1274471, 2630620, 5367773, 15664953]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[5367773],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[5367773, 8490192, 34475852]",1,[5367773],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[5367773],1,[5367773],0,[],2,
