time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,6,"[188642, 1309177, 9677399, 17039389, 61897166, 84649544]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1309177],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[153197, 1203881, 1309177, 6826232, 67177269]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1309177],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1309177, 2586601, 67177269]",1,[1309177],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1309177],1,[1309177],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[1203881, 1309177, 2586601, 67177269]",2,"[1309177, 67177269]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1309177],1,[1309177],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[1203881, 1309177, 67177269]",2,"[1309177, 67177269]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[67177269],0,[],0,[],2,
