time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-01,top_k,3,degree_centrality_z,3,"[1848603, 51220968, 71083854]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[51220968],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[1848603, 51220968, 71083854]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[71083854],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1848603, 51220968, 71083854]",3,"[1848603, 51220968, 71083854]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[71083854],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1848603, 41898282, 51220968]",2,"[1848603, 51220968]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[1848603, 51220968]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[464119, 1848603, 18650321, 51220968, 76502419, 139281855]",2,"[1848603, 51220968]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[1848603, 51220968]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[1848603, 51220968, 71083854]",2,"[1848603, 51220968]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1848603],1,[1848603],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[1848603, 5362048, 51220968]",2,"[1848603, 51220968]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1848603],1,[1848603],0,[],2,
