time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,14,"[587921, 1143417, 4723673, 9324777, 16324238, 26385612, 32209255, 32789220, 32899328, 35613825, 36004087, 42279120, 44239176, 48221412]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[32209255, 35613825]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[815873, 25310870, 32209255, 35613825]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[32209255, 35613825]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[578773, 32209255, 35613825]",2,"[32209255, 35613825]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[32209255],1,[32209255],0,[],2,
2022-07,top_k,3,degree_centrality_z,7,"[2145492, 12289435, 32209255, 35262568, 35613825, 66476455, 96046448]",2,"[32209255, 35613825]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[35613825],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[32209255, 35262568, 35613825]",2,"[32209255, 35613825]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[35613825],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,7,"[6807059, 7467251, 20573623, 26140123, 32209255, 35613825, 40025941]",2,"[32209255, 35613825]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[40025941],0,[],0,[],2,
