time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,3,"[7647594, 7917021, 19266222]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[19266222],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[1654866, 6029443, 10435409, 19266222, 42551278]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[19266222],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,16,"[220358, 1867950, 12820300, 13796570, 19266222, 25867103, 30388648, 39639112, 43617648, 44920140, 46237445, 47092874, 48122099, 49381855, 51114968, 68700054]",1,[19266222],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[19266222],1,[19266222],0,[],2,
2021-01,top_k,3,degree_centrality_z,6,"[7647594, 9538230, 13522866, 19266222, 26591260, 52086930]",1,[19266222],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[19266222],1,[19266222],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[19266222, 21218415, 36251543]",1,[19266222],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[19266222],1,[19266222],0,[],2,
2022-01,top_k,3,degree_centrality_z,16,"[2343001, 5359646, 5902533, 7647594, 11674868, 19250707, 19266222, 19698023, 23319053, 25174518, 29989939, 36162926, 49967236, 51352487, 93891242, 106867149]",1,[19266222],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[19266222],1,[19266222],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2348806, 2373529, 19266222]",1,[19266222],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[19266222],1,[19266222],0,[],2,
2023-01,top_k,3,degree_centrality_z,8,"[808389, 1089594, 7647594, 16080355, 19266222, 22125656, 23270841, 55837663]",1,[19266222],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[19266222],1,[19266222],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[2348806, 6968565, 19266222, 23270841, 55837663, 135974006]",1,[19266222],1,[19266222],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[2348806, 6968565]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1297203, 7967489, 117448706]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[117448706],0,[],0,[],2,
