time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,5,"[1766988, 3971787, 4248832, 13167838, 20554088]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[20554088],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1308309, 4981984, 20554088]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[20554088],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[2870104, 19961352, 20554088]",1,[20554088],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[19961352],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,6,"[2354108, 2870104, 2928922, 8188990, 19961352, 20554088]",1,[20554088],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[19961352],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,12,"[938089, 1276500, 2717394, 3696730, 4532704, 7116583, 11045108, 19961352, 20524866, 22442790, 29889802, 31417895]",1,[19961352],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[19961352],1,[19961352],0,[],2,
2019-01,top_k,3,degree_centrality_z,8,"[296840, 938089, 2870104, 4617141, 10926460, 19961352, 20554088, 25704385]",1,[19961352],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[19961352],1,[19961352],0,[],2,
2019-07,top_k,3,degree_centrality_z,6,"[296840, 1730675, 10926460, 19961352, 20554088, 53062806]",1,[19961352],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[19961352],1,[19961352],0,[],2,
2020-01,top_k,3,degree_centrality_z,8,"[2870104, 4179112, 9390324, 19961352, 36438756, 42122624, 56606692, 58341265]",1,[19961352],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[2870104],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[1444314, 6897215, 19961352, 20554088]",1,[19961352],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[19961352],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[2074857, 3406318, 6897215, 36438756, 56606692]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,5,"[2074857, 3406318, 6897215, 36438756, 56606692]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[6897215, 30130371, 42828703]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[30130371],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[2870104, 3462581, 5084152, 8523008, 22873369]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[22873369],0,[],0,[],2,
