time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-01,top_k,3,degree_centrality_z,4,"[310935, 8218696, 14818619, 15341873]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[15341873],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2766514, 27692601, 53704822]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[53704822],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[161638, 796623, 6053589, 6950247, 15341873, 25056870]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[15341873],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[15341873, 17500430, 95647721]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[15341873],0,[],0,[],2,
