time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,10,"[7844, 102509, 181597, 219202, 554211, 867844, 1450984, 1651509, 2581220, 6304931]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[102509],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[102509, 181597, 463832]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[102509],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[102509, 8040201, 11800368]",1,[102509],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2016-07,top_k,3,degree_centrality_z,9,"[102509, 122261, 181597, 201416, 531476, 6304931, 8620059, 13244177, 14771411]",1,[102509],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[102509, 841044, 2156270, 13370420]",1,[102509],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[102509, 841044, 1503700, 19979867]",1,[102509],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2018-01,top_k,3,degree_centrality_z,10,"[68473, 102509, 641520, 1307941, 2173174, 6425587, 11535830, 15223809, 17484350, 27448401]",1,[102509],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2018-07,top_k,3,degree_centrality_z,6,"[68473, 102509, 1236629, 1307941, 12571941, 43394858]",1,[102509],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2019-01,top_k,3,degree_centrality_z,8,"[102509, 144783, 4390273, 9305394, 9960579, 14033630, 43394858, 50742044]",1,[102509],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2019-07,top_k,3,degree_centrality_z,9,"[102509, 612866, 978415, 1503700, 2964996, 4214167, 14033630, 47511274, 52685149]",1,[102509],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2020-01,top_k,3,degree_centrality_z,7,"[81570, 102509, 235410, 5557301, 7115788, 17992720, 47873678]",1,[102509],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2020-07,top_k,3,degree_centrality_z,9,"[102509, 487897, 571328, 1001306, 1307941, 6050704, 6202401, 8344977, 65766575]",1,[102509],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[102509, 29005497, 70026705]",1,[102509],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[102509, 245021, 2297074, 4259587, 16281771]",1,[102509],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[102509, 1799763, 35278323]",1,[102509],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2022-07,top_k,3,degree_centrality_z,7,"[68473, 102509, 1056353, 35278323, 37309215, 47873678, 80459567]",1,[102509],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
2023-01,top_k,3,degree_centrality_z,8,"[102509, 827555, 1799763, 5209757, 26803762, 31647414, 35278323, 65668047]",2,"[102509, 35278323]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[102509, 26803762]",1,[102509],0,[],2,
2023-07,top_k,3,degree_centrality_z,13,"[68473, 102509, 245021, 791137, 827555, 2970691, 7994192, 15049809, 35278323, 44799072, 58566661, 61582622, 107865875]",2,"[102509, 35278323]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[102509],1,[102509],0,[],2,
