time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2023-01,top_k,3,degree_centrality_z,4,"[5260050, 14137676, 16766985, 31413214]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[5260050],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,8,"[424752, 434942, 5140023, 5260050, 5618407, 9048635, 14137676, 24738311]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[5618407, 24738311]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[58669, 9048635, 38992547]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[58669, 9048635]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[58669, 9048635, 38992547]",1,[9048635],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[38992547],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[9048635, 38992547, 107918818, 179794465]",2,"[9048635, 38992547]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[38992547],0,[],0,[],2,
