time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,4,"[861044, 2354108, 8300001, 8655789]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,2,"[861044, 8300001]",0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[861044, 2856444, 8655789, 22429695]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[861044],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[861044, 3812864, 11761333, 41810448]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[861044],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[861044, 7796167, 22429695]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[861044],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[861044, 898010, 7796167, 22429695, 49879400]",1,[861044],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[861044],1,[861044],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[861044, 3812864, 22429695, 40023234, 45105669]",2,"[861044, 22429695]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[861044],1,[861044],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[861044, 22429695, 49693820, 58596630]",2,"[861044, 22429695]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[861044],1,[861044],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[861044, 22429695, 58596630]",2,"[861044, 22429695]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[861044],1,[861044],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[861044, 22429695, 58596630]",3,"[861044, 22429695, 58596630]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[861044],1,[861044],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[861044, 22429695, 58596630, 96344856]",3,"[861044, 22429695, 58596630]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[861044],1,[861044],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[861044, 22429695, 58596630, 96344856]",3,"[861044, 22429695, 58596630]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[861044],1,[861044],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[861044, 22429695, 58596630, 74015378, 101403593]",3,"[861044, 22429695, 58596630]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[861044, 22429695, 29139614, 49699333]",2,"[861044, 22429695]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[861044, 22429695, 29139614]",2,"[861044, 22429695]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[861044],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[861044, 22429695, 29139614, 58596630]",3,"[861044, 22429695, 29139614]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[58596630],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[861044, 22429695, 29139614, 58596630]",3,"[861044, 22429695, 29139614]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[861044, 58596630]",0,[],0,[],2,
