time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,6,"[730811, 927277, 1707597, 6050017, 7193375, 15989486]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[1707597],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,5,"[121401, 259691, 1707597, 16775880, 18198514]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1707597],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[1077464, 1621311, 1707597]",1,[1707597],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[1707597],1,[1707597],0,[],2,
2017-01,top_k,3,degree_centrality_z,7,"[42769, 730811, 884939, 1077464, 1621311, 1707597, 22910428]",1,[1707597],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[1707597],1,[1707597],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,7,"[42769, 1230876, 1707597, 3046965, 8452001, 12434847, 29940887]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1707597],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[1035748, 1707597, 7759773]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[1707597],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[1707597, 4406823, 12821762, 38276692]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[1707597, 12821762]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[1621311, 1707597, 6274523, 39024786, 57430117]",1,[1707597],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1707597],1,[1707597],0,[],2,
2020-07,top_k,3,degree_centrality_z,10,"[504281, 1006477, 1643413, 1707597, 1879229, 2149815, 5988756, 10096922, 34470931, 74538392]",1,[1707597],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1707597],1,[1707597],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[1707597, 29561158, 31100231]",1,[1707597],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1707597],1,[1707597],0,[],2,
2021-07,top_k,3,degree_centrality_z,6,"[366967, 413772, 730811, 1707597, 13963449, 57349911]",1,[1707597],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[413772, 1707597]",1,[1707597],0,[],2,
