time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,5,"[10199742, 20124295, 23294156, 25974092, 34818222]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[20124295],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,7,"[279844, 1164088, 1304505, 1891829, 2194889, 20124295, 25974092]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[20124295],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1349225, 9513634, 20124295]",1,[20124295],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[20124295],1,[20124295],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[20124295, 44955050, 50433279]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[50433279],0,[],0,[],2,
