time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,3,"[1173748, 1521832, 2390428]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,2,"[1521832, 2390428]",0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[112729, 2390428, 6212603, 20321010]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,2,"[2390428, 6212603]",0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[48936, 112729, 913394]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,4,"[48936, 112729, 913394, 15804042]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[28220, 48936, 4881193]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,5,"[28220, 48936, 4881193, 10923599, 26758509]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[48936, 745639, 6212603]",1,[48936],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,4,"[48936, 745639, 5546016, 6212603]",1,[48936],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[1065913, 1547881, 2981274, 6212603, 47785526]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[1065913, 6212603]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[1018674, 1065913, 6212603, 23049315, 47785526]",1,[6212603],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[1065913, 6212603]",1,[6212603],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[71364, 82002, 6212603]",1,[6212603],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[82002, 6212603]",1,[6212603],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[48936, 6212603, 7932044]",1,[6212603],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[6212603],1,[6212603],0,[],2,
2021-01,top_k,3,degree_centrality_z,18,"[40856, 48936, 71364, 1577132, 3869097, 6212603, 7131058, 8706441, 11753185, 20116216, 22928185, 25848231, 42912268, 43144390, 46025786, 48214591, 79290655, 79801826]",1,[6212603],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[6212603],1,[6212603],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[6212603, 11775031, 25785753]",1,[6212603],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[6212603],1,[6212603],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[6212603, 13049936, 75680151]",1,[6212603],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[6212603],1,[6212603],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[6212603, 19617260, 22942154, 87037175]",1,[6212603],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6212603],1,[6212603],0,[],2,
2023-01,top_k,3,degree_centrality_z,11,"[23411, 212189, 1226241, 1376251, 6212603, 16443377, 19431276, 20690067, 38049750, 41286745, 48165976]",1,[6212603],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[6212603],1,[6212603],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[3709715, 5886584, 6212603, 7897337]",1,[6212603],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[3709715, 6212603]",1,[6212603],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[3709715, 4662342, 6212603]",1,[6212603],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[3709715, 6212603]",1,[6212603],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[3709715, 4662342, 6212603]",2,"[3709715, 6212603]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,3,"[3709715, 4662342, 6212603]",2,"[3709715, 6212603]",0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[3709715, 6212603, 22429695]",2,"[3709715, 6212603]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[6212603],1,[6212603],0,[],2,
