time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,6,"[94491, 118146, 333487, 450960, 5329361, 6210140]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[5329361],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[333487, 450960, 5329361, 14055414]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[333487, 5329361]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[852933, 5329361, 13946731, 14055414]",1,[5329361],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[5329361],1,[5329361],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[3419713, 4618044, 5329361, 8124374, 31415789]",1,[5329361],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[5329361],1,[5329361],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[73069, 5329361, 9285430, 36754821]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[73069, 5329361]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[4501391, 5329361, 36754821]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[36754821],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[4442395, 5329361, 36754821]",2,"[5329361, 36754821]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[36754821],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[307494, 4525682, 5329361, 21015829, 75367561]",1,[5329361],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[5329361],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[2489575, 5329361, 21015829]",1,[5329361],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[5329361],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,5,"[1884835, 5329361, 8254253, 21015829, 54544106]",2,"[5329361, 21015829]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[1884835, 8254253]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[2489575, 5329361, 8254253, 21015829, 36754821, 82576692]",2,"[5329361, 21015829]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[2489575, 21015829]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[5329361, 8046636, 14854276]",1,[5329361],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[5329361],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[4442395, 11810153, 36754821, 78331453]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[11810153],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[9990253, 36754821, 60710567]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[9990253],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[2506871, 3497171, 5329361, 10435136, 36754821]",1,[36754821],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[3497171],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[4442395, 36754821, 112698605]",1,[36754821],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,3,"[4442395, 36754821, 112698605]",0,[],0,[],2,
