time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,4,"[214246, 3647996, 53248407, 82546991]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[53248407],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[3647996, 58213172, 97147710]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[58213172],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[3647996, 48594001, 58213172, 121677438]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[3647996, 121677438]",0,[],0,[],2,
