time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,4,"[1091435, 1690898, 30408822, 41289973]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1690898],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[1690898, 3028323, 13469596, 31052518, 32102244]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[31052518],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1690898, 16238514, 31052518]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[16238514],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[1690898, 64191699, 175728472]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1690898],0,[],0,[],2,
