time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,3,"[6302842, 8793303, 10698320]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[8793303],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[8793303, 10552966, 10698320]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[8793303],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[8793303, 10552966, 10698320]",2,"[8793303, 10698320]",0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[10698320],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[5632401, 8793303, 10552966, 10698320]",3,"[8793303, 10552966, 10698320]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[8793303],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[5632401, 6302842, 10552966, 10698320]",2,"[10552966, 10698320]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[5632401],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[5632401, 10552966, 10698320]",3,"[5632401, 10552966, 10698320]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[10552966, 10698320]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[5632401, 10552966, 10698320]",3,"[5632401, 10552966, 10698320]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[10552966, 10698320]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[321364, 5632401, 10552966, 10698320]",3,"[5632401, 10552966, 10698320]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[10552966],1,[10552966],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[9086834, 10552966, 12760748]",1,[10552966],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,3,"[9086834, 10552966, 12760748]",1,[10552966],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[9086834, 10552966, 10698320, 23528226]",1,[10552966],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[9086834],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[9086834, 10552966, 10698320]",2,"[9086834, 10552966]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[10698320],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[10552966, 10698320, 17944122, 26717393]",2,"[10552966, 10698320]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[10552966],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[70542, 10552966, 10698320, 17944122]",2,"[10552966, 10698320]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[10698320, 17944122]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[10552966, 10698320, 17944122, 26717393]",3,"[10552966, 10698320, 17944122]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[10552966, 17944122]",0,[],0,[],2,
