time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,3,"[2756611, 7279423, 18336802]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[2756611],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,7,"[180170, 2756611, 5412536, 7279423, 18336802, 49699333, 56921374]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[2756611],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,8,"[209712, 431915, 1882905, 2756611, 5412536, 18336802, 56921374, 80512656]",2,"[2756611, 18336802]",1,[18336802],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[2756611, 36853001, 40743076, 59435984]",1,[2756611],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[2756611, 8897202, 36853001]",1,[2756611],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
2022-07,top_k,3,degree_centrality_z,8,"[511342, 1272882, 1655473, 2756611, 5272216, 7236569, 40743076, 56921374]",1,[2756611],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
2023-01,top_k,3,degree_centrality_z,6,"[2756611, 4722201, 36048466, 36853001, 40743076, 56921374]",1,[2756611],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[2756611, 36853001, 40743076, 104768048]",2,"[2756611, 40743076]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
2024-01,top_k,3,degree_centrality_z,6,"[2756611, 36853001, 40743076, 43378371, 72733684, 104768048]",3,"[2756611, 36853001, 40743076]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[2756611, 36853001, 40743076, 129050941]",3,"[2756611, 36853001, 40743076]",2,"[36853001, 40743076]",,3
2024-07,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[2756611, 5412536, 104768048]",1,[2756611],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[2756611],1,[2756611],0,[],2,
