time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,3,"[1335366, 4175662, 6644208]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1335366],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,7,"[279701, 1335366, 1694370, 3650755, 4260219, 5942712, 31797514]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[1335366],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[119948, 1335366, 1542189, 5942712, 25241284]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[1335366],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,8,"[279701, 579333, 1335366, 1542189, 2596352, 4216335, 6644208, 7043539]",1,[1335366],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1335366],1,[1335366],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[119948, 1335366, 2490389, 3717345, 48247987]",1,[1335366],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1335366],1,[1335366],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[1144588, 1218431, 1335366, 5751272]",1,[1335366],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[1335366, 5751272]",1,[1335366],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1144588, 1542189, 13500507]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[1144588, 13500507]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,11,"[119948, 279701, 1144588, 1335366, 2657068, 5751272, 8325683, 15484056, 17542833, 29507887, 108058522]",1,[1144588],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[17542833],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[1144588, 1335366, 2657068]",1,[1144588],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[1144588, 2657068]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[358882, 1144588, 5839474, 13799022, 46482636, 70809020]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1144588],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1144588, 7935404, 10565357]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,3,"[1144588, 7935404, 10565357]",0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,10,"[358882, 1144588, 1887121, 2657068, 5839474, 7935404, 43675484, 58425080, 65553080, 179685904]",1,[1144588],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1144588],1,[1144588],0,[],2,
