time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,4,"[119974, 311639, 1278114, 1479558]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[119974],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,4,"[48272, 119974, 241599, 3632883]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,2,"[48272, 119974]",0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,5,"[119974, 3632883, 6940365, 16278428, 18257829]",1,[119974],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2016-07,top_k,3,degree_centrality_z,8,"[119974, 772426, 900770, 1445049, 2808302, 6035539, 14811476, 22086401]",1,[119974],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2017-01,top_k,3,degree_centrality_z,8,"[119974, 863369, 2635831, 2725785, 7253461, 10072920, 10732861, 25699262]",1,[119974],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[119974, 2016679, 2635831, 15848443]",1,[119974],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[119974, 2016679]",1,[119974],0,[],2,
2018-01,top_k,3,degree_centrality_z,11,"[119974, 446561, 764438, 900770, 3602533, 7051479, 11855322, 15075613, 22385215, 25382296, 32057147]",1,[119974],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2018-07,top_k,3,degree_centrality_z,8,"[119974, 764438, 835332, 1889411, 13834197, 21192010, 21255931, 25070944]",1,[119974],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[119974, 1263229, 1396580, 1430903]",1,[119974],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[119974, 1396580]",1,[119974],0,[],2,
2019-07,top_k,3,degree_centrality_z,7,"[119974, 371344, 719776, 1752983, 21255931, 21960611, 55519905]",1,[119974],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[119974, 2220203, 3307753, 5925050, 38007608]",1,[119974],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[119974, 34210703, 36724128, 48142901]",1,[119974],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[119974, 15090643, 59022605, 77228062]",1,[119974],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2021-07,top_k,3,degree_centrality_z,8,"[119974, 159488, 289994, 743869, 10435219, 24569795, 39383743, 55069414]",1,[119974],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2022-01,top_k,3,degree_centrality_z,6,"[119974, 1104094, 8340592, 18739609, 38495651, 55323451]",1,[119974],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[119974, 4675564, 6010010, 15348071, 62287799, 85708048]",1,[119974],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2023-01,top_k,3,degree_centrality_z,12,"[119974, 446561, 1060205, 2725785, 3727440, 4675564, 5473460, 12230153, 25070944, 50211406, 60545340, 108768169]",1,[119974],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2023-07,top_k,3,degree_centrality_z,9,"[119974, 466625, 758047, 1336221, 1616657, 3824913, 5270024, 13520392, 30213558]",1,[119974],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2024-01,top_k,3,degree_centrality_z,7,"[119974, 195327, 237821, 397799, 905365, 9169332, 11169377]",1,[119974],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2024-07,top_k,3,degree_centrality_z,12,"[29657, 119974, 1336221, 1931303, 7213342, 13122796, 25318790, 53207542, 78283504, 82095196, 102914108, 163393472]",1,[119974],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
2025-01,top_k,3,degree_centrality_z,13,"[119974, 188558, 438182, 523312, 1466530, 5270024, 5621877, 12622760, 26515518, 29674489, 39400800, 43062104, 76555917]",1,[119974],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[119974],1,[119974],0,[],2,
