time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[4328, 71486, 334496]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,2,"[71486, 334496]",0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[38393, 71486, 334496]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,7,"[38393, 71486, 293525, 334496, 365293, 2797735, 10678620]",0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[38393, 1418419, 2797735]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,7,"[38393, 293525, 334496, 1418419, 2797735, 3019665, 8655789]",1,[334496],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[976973, 1418419, 5866976]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,8,"[38393, 976973, 1042804, 1418419, 2797735, 3019665, 5866976, 8655789]",2,"[38393, 2797735]",0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[1042804, 1418419, 12504517]",1,[1418419],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,4,"[1042804, 1418419, 1779189, 12504517]",1,[1418419],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[1042804, 1418419, 1779189]",1,[1418419],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,5,"[38393, 1042804, 1418419, 1779189, 12504517]",2,"[1042804, 1418419]",0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1042804, 1418419, 10598343]",2,"[1042804, 1418419]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,3,"[1042804, 1418419, 10598343]",2,"[1042804, 1418419]",0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[38393, 1042804, 1418419]",2,"[1042804, 1418419]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,5,"[38393, 1042804, 1418419, 1779189, 10598343]",2,"[1042804, 1418419]",0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[38393, 1042804, 1418419]",2,"[1042804, 1418419]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,5,"[38393, 976973, 1042804, 1050278, 1418419]",2,"[1042804, 1418419]",0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[38393, 976973, 1050278]",1,[38393],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,7,"[38393, 976973, 1042804, 1050278, 1418419, 20071972, 28790108]",3,"[38393, 1042804, 1418419]",0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[1042804, 1418419, 28790108]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,8,"[38393, 976973, 1042804, 1050278, 1418419, 3485949, 20071972, 28790108]",5,"[38393, 976973, 1042804, 1050278, 1418419]",0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[1042804, 3485949, 6901046]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,10,"[1042804, 1418419, 2797735, 3019665, 3485949, 5234427, 6901046, 28790108, 47338163, 61884791]",3,"[1042804, 1418419, 28790108]",0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[1610, 3485949, 61884791]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,6,"[1610, 1042804, 1418419, 3485949, 47338163, 61884791]",3,"[1042804, 1418419, 3485949]",0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1610, 4546435, 41898282]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[1610, 41898282]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[1610, 4546435, 41898282]",1,[1610],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,3,"[1610, 4546435, 41898282]",1,[1610],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[2559438, 4546435, 41898282]",2,"[4546435, 41898282]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,9,"[1610, 208018, 718726, 2559438, 4546435, 6708083, 18747875, 28930622, 41898282]",2,"[1610, 41898282]",0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1610, 718726, 41898282]",1,[41898282],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,8,"[1610, 208018, 718726, 2559438, 4546435, 18747875, 28930622, 41898282]",3,"[1610, 4546435, 41898282]",0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1610, 718726, 41898282]",1,[41898282],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,8,"[1610, 208018, 718726, 2559438, 4546435, 18747875, 28930622, 41898282]",8,"[1610, 208018, 718726, 2559438, 4546435, 18747875, 28930622, 41898282]",0,[],2,
