time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,3,"[31000, 5607572, 20211140]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[20211140],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[186131, 973709, 3999221, 5088535, 20211140]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[973709],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[973709, 3999221, 8655789]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[973709],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[973709, 3999221, 8655789]",2,"[973709, 3999221]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[973709],1,[973709],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[973709, 3999221, 65553080]",2,"[973709, 3999221]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[973709],1,[973709],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[973709, 3999221, 65553080]",2,"[973709, 3999221]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[973709, 65553080]",1,[973709],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[973709, 1678585, 3999221, 65553080]",3,"[973709, 3999221, 65553080]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[973709, 65553080]",1,[973709],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[973709, 2206639, 65553080]",2,"[973709, 65553080]",1,[65553080],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[973709, 2206639]",1,[973709],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[973709, 2206639, 22429695]",1,[973709],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[973709, 2206639]",1,[973709],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[973709, 2206639, 3999221]",2,"[973709, 2206639]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[2206639],1,[2206639],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[973709, 2206639, 3999221]",2,"[973709, 2206639]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[2206639],1,[2206639],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[973709, 2206639, 3999221]",3,"[973709, 2206639, 3999221]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[2206639, 3999221]",1,[2206639],0,[],2,
