time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-07,top_k,3,degree_centrality_z,3,"[8655789, 16403734, 37301733]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[8655789],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[8655789, 16403734, 16521587]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[16403734],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[1322974, 8655789, 16403734, 65553080]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[16403734],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[1322974, 8655789, 16403734, 23259282, 75437433]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[16403734],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[13078998, 13760223, 16403734]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[16403734],0,[],0,[],2,
