time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,4,"[218738, 490745, 1649135, 2445288]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[218738],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,6,"[218738, 309029, 490745, 1403999, 1822699, 7384735]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[218738],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,7,"[218738, 295322, 490745, 2004405, 2317574, 2457588, 12519941]",2,"[218738, 490745]",0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2016-07,top_k,3,degree_centrality_z,18,"[88278, 130223, 218738, 348237, 425471, 685984, 937160, 1011483, 1023091, 1047864, 1052283, 2317574, 3379265, 3531414, 9166121, 12821682, 19542516, 21140507]",1,[218738],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[218738, 685984, 5666296, 12478828]",1,[218738],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2017-07,top_k,3,degree_centrality_z,19,"[73365, 77834, 218738, 490745, 537094, 685984, 1299064, 1543976, 2004405, 2457588, 3538024, 5658236, 6146071, 6345033, 7489759, 7500187, 8758073, 16837024, 34432301]",2,"[218738, 685984]",1,[685984],,3
2017-07,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2018-01,top_k,3,degree_centrality_z,12,"[218738, 528567, 937160, 1645478, 2333868, 3366521, 7500187, 8758073, 11667059, 14236373, 17441062, 33550454]",1,[218738],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[218738, 490745, 20732921]",1,[218738],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[218738, 885785, 7934671, 11394809]",1,[218738],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[218738, 1473980, 21128288]",1,[218738],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[145273, 209057, 218738]",1,[218738],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[218738, 529551, 1697306]",1,[218738],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[218738, 6531148, 32937082]",1,[218738],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[218738, 1017095, 6223104, 61435828]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[218738],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[218738, 3887543, 71769671]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[218738],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[163359, 218738, 17606433, 38775530]",1,[218738],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2023-07,top_k,3,degree_centrality_z,17,"[81377, 151206, 177243, 218738, 230595, 300279, 2494724, 6584624, 7000705, 17606433, 24383854, 32937082, 37138157, 37794660, 38775530, 46679009, 61435828]",1,[218738],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[218738],1,[218738],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[218738, 7142785, 173056411]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[7142785],0,[],0,[],2,
