time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,7,"[38854, 637990, 1055830, 1304175, 4181796, 15856149, 28557148]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[1304175],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,6,"[202400, 1304175, 4989316, 12392283, 16000931, 47476859]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[1304175],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[58698, 1304175, 14835111, 22429695]",1,[1304175],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[116184, 730811, 1304175, 16231909, 22429695]",1,[1304175],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1304175, 7798898, 22429695]",2,"[1304175, 22429695]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
2022-01,top_k,3,degree_centrality_z,7,"[134518, 1304175, 8134073, 22429695, 29123073, 31284574, 49699333]",2,"[1304175, 22429695]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[60163, 110765, 1304175, 22429695, 29123073, 51964909]",2,"[1304175, 22429695]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[1304175, 22429695]",1,[1304175],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1304175, 2358015, 22429695]",2,"[1304175, 22429695]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1304175, 16805946, 22429695]",2,"[1304175, 22429695]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[1304175, 1863865, 5888479, 22429695]",2,"[1304175, 22429695]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[1304175, 3000173, 3042955, 16004942, 22429695]",2,"[1304175, 22429695]",1,[22429695],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[1304175, 2796604, 3166263]",1,[1304175],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1304175],1,[1304175],0,[],2,
