time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,4,"[520736, 2046079, 2797735, 8953195]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[8953195],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[520736, 591830, 1410485]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[520736, 591830]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,4,"[520736, 2797735, 3065791, 7796035]",1,[520736],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[520736],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[520736, 1793096, 4123047]",1,[520736],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[520736],1,[520736],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[520736, 647893, 4454279, 7119249]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,2,"[4454279, 7119249]",0,[],0,[],2,
