time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-07,top_k,3,degree_centrality_z,3,"[76330, 889423, 67015503]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[889423],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,10,"[76330, 714283, 868315, 889423, 3827982, 4056560, 15256121, 17208224, 25326832, 80531705]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[889423],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[889423, 1101467, 3827982, 8523191, 57464345]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[889423],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,8,"[35075, 889423, 2751996, 3827982, 36009512, 39854585, 57464345, 71481304]",2,"[889423, 3827982]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[889423],1,[889423],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[889423, 6849766, 15632950]",1,[889423],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[889423],1,[889423],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,7,"[28623, 302396, 739218, 889423, 3827982, 57464345, 160582411]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[889423],0,[],0,[],2,
