time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2021-01,top_k,3,degree_centrality_z,4,"[5527345, 17262120, 36333285, 70294884]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[70294884],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[3090462, 26177250, 70294884]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[70294884],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[35835924, 70294884, 126007532]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,3,"[35835924, 70294884, 126007532]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,7,"[4789774, 11734125, 54211424, 75965079, 77700936, 91844306, 92685218]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[75965079],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,8,"[330247, 1123706, 11734125, 17987707, 33500951, 34750919, 87647492, 92685218]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,2,"[1123706, 33500951]",0,[],0,[],2,
