time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-01,top_k,3,degree_centrality_z,4,"[56396, 68039, 6670312, 12821762]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[68039],0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,4,"[68039, 2672503, 12821762, 21363350]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[2672503],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[68039, 2672503, 6139501, 19834601]",1,[68039],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[2672503],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,6,"[68039, 19206712, 19597283, 22266184, 25472535, 25867872]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[68039, 25472535]",0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[22266184, 25472535, 52638039]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[25472535],0,[],0,[],2,
