time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-01,top_k,3,degree_centrality_z,6,"[1736676, 10405347, 19348206, 52778917, 57183099, 61134758]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[57183099],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[6047261, 9092509, 11502319, 20171515, 57183099]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[20171515],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[6047261, 9092509, 17730741, 20171515, 57183099]",1,[57183099],1,[57183099],,3
2021-01,z_thresh,3,degree_centrality_z,1,[20171515],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[17730741, 19835158, 20171515]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[20171515],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[17730741, 20171515, 112895154]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[20171515],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[1545376, 17730741, 20171515, 49699333]",2,"[17730741, 20171515]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[17730741, 20171515]",1,[20171515],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[17730741, 20171515, 49699333]",2,"[17730741, 20171515]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[17730741, 20171515]",1,[20171515],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[4845653, 17730741, 20171515, 49699333]",3,"[17730741, 20171515, 49699333]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[17730741, 49699333]",1,[17730741],0,[],2,
