time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[86236, 270307, 994951]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[994951],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[615759, 994951, 2700360]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[994951],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,7,"[14330, 88083, 270307, 366813, 744434, 994951, 1280465]",1,[994951],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[994951],1,[994951],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[366813, 994951, 2270884, 2700360, 5830820]",1,[994951],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[994951],1,[994951],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[270307, 344472, 366813, 994951]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[994951],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[71315, 994951, 2631143]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[994951],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[270307, 994951, 6594923, 8655789]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[270307, 6594923]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[1279701, 2124818, 8655789, 15977228]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[1279701, 8655789]",0,[],0,[],2,
