time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[714711, 1494842, 2245080]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[714711],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[270307, 366813, 2270884]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,2,"[270307, 2270884]",0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[270307, 366813, 2270884]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[270307, 2270884]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[270307, 366813, 2270884]",3,"[270307, 366813, 2270884]",1,[2270884],,3
2016-07,z_thresh,3,degree_centrality_z,1,[366813],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[23966, 270307, 366813, 1321505, 4660275]",2,"[270307, 366813]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[270307],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[270307, 366813, 750553, 11410065]",2,"[270307, 366813]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[270307],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,5,"[71950, 270307, 366813, 750553, 1083778]",2,"[270307, 366813]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[270307],1,[270307],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,5,"[270307, 366813, 2874956, 6594923, 8655789]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[6594923],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,8,"[270307, 7568993, 8655789, 12602593, 53207673, 59834272, 60890496, 65553080]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[270307, 8655789]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,4,"[270307, 714711, 8655789, 12543977]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[270307],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[537678, 1461191, 55041489]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1461191],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1461191, 39345336, 64416037]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[39345336],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[1461191, 16904477, 65553080]",1,[1461191],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1461191],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[1461191, 16904477, 22429695, 66853113]",1,[1461191],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[270307, 16066485, 16904477, 22429695]",1,[16904477],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[16904477],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[16904477, 22429695, 66853113]",2,"[16904477, 22429695]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[16904477],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[1461191, 16904477, 22429695]",2,"[16904477, 22429695]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[16904477],1,[16904477],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[16904477, 22429695, 58596630, 66853113]",2,"[16904477, 22429695]",1,[22429695],,3
2024-07,z_thresh,3,degree_centrality_z,1,[66853113],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[16904477, 58596630, 66853113]",1,[16904477],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[66853113],0,[],0,[],2,
