time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,4,"[5139486, 5236165, 22445102, 51164173]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,4,"[5139486, 5236165, 22445102, 51164173]",0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[3849181, 10372487, 61819494]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[10372487],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[10372487, 48492600, 59042070]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,3,"[10372487, 48492600, 59042070]",0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,8,"[7543644, 10372487, 22445102, 25594987, 43144390, 64745531, 105446175, 110065164]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[10372487],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[5055780, 10372487, 12292943, 66738817]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[10372487],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[21278159, 22445102, 71556548]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[22445102],0,[],0,[],2,
