time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,4,"[1523833, 3270738, 8291187, 8295757]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,4,"[1523833, 3270738, 8291187, 8295757]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[1523833, 8291187, 10201666]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,8,"[1523833, 3270738, 4080826, 8291187, 8295757, 10201666, 19392467, 41337831]",0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[1211949, 8291187, 22429695]",1,[8291187],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,5,"[1211949, 1523833, 3524474, 8291187, 22429695]",2,"[1523833, 8291187]",0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[1211949, 8291187, 22429695]",1,[8291187],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,5,"[1211949, 4080826, 8291187, 10201666, 22429695]",1,[8291187],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[4991751, 22429695, 38739674]",1,[22429695],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,4,"[4991751, 9617320, 22429695, 38739674]",1,[22429695],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[4080826, 4991751, 22429695]",1,[22429695],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,3,"[4080826, 4991751, 22429695]",1,[22429695],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[8291187, 22429695, 51342856]",1,[22429695],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,2,"[22429695, 51342856]",1,[22429695],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[8291187, 16876986, 22429695, 51342856]",1,[22429695],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[22429695, 51342856]",1,[22429695],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[16876986, 22429695, 51342856]",2,"[22429695, 51342856]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[22429695, 51342856]",2,"[22429695, 51342856]",0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[8918108, 22429695, 51342856]",2,"[22429695, 51342856]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[22429695, 51342856]",2,"[22429695, 51342856]",0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[16876986, 31937616, 51342856]",1,[51342856],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[31937616, 51342856]",1,[51342856],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[8918108, 22429695, 51342856]",1,[51342856],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[51342856],1,[51342856],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[8918108, 10833894, 51342856]",1,[51342856],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[8918108, 51342856]",1,[51342856],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[8918108, 10833894, 51342856]",2,"[8918108, 51342856]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[51342856],1,[51342856],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[8918108, 51342856, 175728472]",2,"[8918108, 51342856]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,2,"[8918108, 51342856]",1,[51342856],0,[],2,
