time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-01,top_k,3,degree_centrality_z,5,"[8441217, 9937681, 12083964, 19856429, 107104453]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[8441217],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[8441217, 9937681, 24670931, 45237201, 47104514]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[24670931],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[781116, 965734, 15717586, 18679628, 19856429]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[965734],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[24670931, 40060766, 45237201, 53045993]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[45237201, 53045993]",0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,5,"[1828519, 41137440, 69033707, 74568469, 88458444]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[88458444],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[4742514, 19856429, 34573508, 45237201, 119882363]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[119882363],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[4742514, 19856429, 45237201, 49722768]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,4,"[4742514, 19856429, 45237201, 49722768]",0,[],0,[],2,
