time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,5,"[58055, 66491, 305268, 2354108, 10010231]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[58055],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[58055, 1131704, 7400314]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[58055],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[58055, 184060, 1213641, 2429141]",1,[58055],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[58055],1,[58055],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[58055, 66491, 1395842, 2429141, 11883026]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[58055],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[58055, 66491, 1395842]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[58055],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[635179, 1457576, 2429141]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1457576],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[58055, 66491, 28614451]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[28614451],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[58055, 294415, 1200832, 9895620]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[58055, 294415]",0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[58055, 294415, 4067843, 9895620]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[58055, 9895620]",0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,4,"[58055, 529516, 6185600, 28614451]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[58055, 529516]",0,[],0,[],2,
