time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[1927494, 8627380, 8828244]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[8627380],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,6,"[3279516, 5837664, 8193110, 8627380, 8973767, 9267763]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[8627380],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[116893, 864138, 8627380]",1,[8627380],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[705606, 8627380, 40296536]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[705606],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,9,"[1178842, 3614587, 5570998, 8003862, 8627380, 14642765, 33371871, 40296536, 44822267]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[8627380],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[2657187, 8627380, 10771358]",1,[8627380],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[8627380],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,11,"[45051, 116893, 940702, 3279516, 8627380, 16328515, 32308463, 37083710, 44042178, 44749714, 52287661]",1,[8627380],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[8627380, 52301226, 62084657]",1,[8627380],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[116184, 8627380, 30625432]",1,[8627380],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[8627380, 10911683, 26805998]",1,[8627380],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2021-07,top_k,3,degree_centrality_z,13,"[988845, 1064270, 1580956, 4672577, 5450148, 8627380, 8750259, 11720165, 12261635, 26038589, 36573837, 39058474, 39360190]",1,[8627380],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2022-01,top_k,3,degree_centrality_z,19,"[166759, 581947, 988845, 1064270, 1970811, 2492525, 2931213, 3136904, 4175366, 6631481, 8627380, 13802503, 17554438, 31521133, 43916815, 65021675, 78840853, 80056714, 105742080]",1,[8627380],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[166759, 4672577, 8627380, 55855805]",1,[8627380],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[166759, 2360738, 8627380, 21198777]",2,"[166759, 8627380]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2023-07,top_k,3,degree_centrality_z,16,"[166759, 2491041, 3600973, 4379489, 4672577, 8627380, 9618842, 17554438, 21040751, 25667389, 26327410, 39360190, 53894596, 57409060, 72964917, 108299405]",2,"[166759, 8627380]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[8627380, 144027798, 164321617]",1,[8627380],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,2,"[8627380, 144027798]",1,[8627380],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[8627380, 38394340, 148201326]",1,[8627380],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[8627380, 144027798, 148201326]",1,[8627380],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[8627380],1,[8627380],0,[],2,
