time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,3,"[1623542, 9073088, 15013761]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1623542],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[1173748, 1623542, 20579672, 25134245, 31806808]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[1623542],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[1623542, 51007022, 75040321]",1,[1623542],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[1623542],1,[1623542],0,[],2,
2022-01,top_k,3,degree_centrality_z,12,"[1265278, 1623542, 5098566, 5797540, 6522456, 15371159, 35629151, 38643099, 43144390, 65553080, 72560156, 79153884]",1,[1623542],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[1623542],1,[1623542],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[1623542, 36114799, 65553080]",1,[1623542],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[1623542],1,[1623542],0,[],2,
2023-01,top_k,3,degree_centrality_z,3,"[1623542, 16196262, 65553080]",2,"[1623542, 65553080]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[1623542],1,[1623542],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[1623542, 49699333, 65553080]",2,"[1623542, 65553080]",1,[65553080],,3
2023-07,z_thresh,3,degree_centrality_z,1,[1623542],1,[1623542],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[1623542, 22429695, 40243147, 125982831]",1,[1623542],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[1623542],1,[1623542],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[1623542, 15979196, 29150871]",1,[1623542],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[1623542],1,[1623542],0,[],2,
2025-01,top_k,3,degree_centrality_z,6,"[25078, 1623542, 8823281, 12396317, 15896229, 33791055]",1,[1623542],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[1623542],1,[1623542],0,[],2,
