time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-07,top_k,3,degree_centrality_z,3,"[521109, 6540608, 43468077]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6540608],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[3532824, 5199899, 6540608]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[6540608],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[435903, 5199899, 6540608]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[5199899],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,4,"[435903, 3532824, 5199899, 6540608]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[5199899],0,[],0,[],2,
