time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,4,"[205327, 412274, 791437, 824194]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[824194],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[205327, 824194, 2195834]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[824194],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[46968, 201236, 205327, 39232099]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[201236, 205327]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[205327, 6540608, 6909403]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[6540608],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[435903, 3532824, 5199899, 6540608]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[5199899],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,5,"[201236, 435903, 824194, 5199899, 6540608]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[5199899],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[5199899, 6540608, 25297591]",2,"[5199899, 6540608]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[6540608],0,[],0,[],2,
