time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[30476, 300048, 2090554]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[30476],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[30476, 379805, 2388162, 11437018]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[30476, 379805]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,4,"[30476, 510760, 923849, 2019553]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,4,"[30476, 510760, 923849, 2019553]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,6,"[510760, 1173730, 1448859, 3243475, 5607572, 6801001]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[5607572],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[320553, 445491, 510760, 1499916]",1,[510760],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[510760],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[167164, 445491, 510760, 5607572]",1,[510760],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[445491],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[167164, 445491, 510760, 1930778]",2,"[445491, 510760]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,4,"[167164, 445491, 510760, 1930778]",0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[167164, 445491, 510760]",3,"[167164, 445491, 510760]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[510760],0,[],0,[],2,
