time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2022-01,top_k,3,degree_centrality_z,5,"[465550, 861044, 3864223, 13618205, 30049606]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[465550],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,5,"[465550, 4711805, 5298126, 8157058, 17493246]",0,[],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[465550],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[272026, 465550, 4095626, 4711805]",1,[465550],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[465550],1,[465550],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[465550, 31971762, 131259908]",1,[465550],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[465550],1,[465550],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[465550, 31971762, 58307748]",0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[31971762],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[2010323, 9677399, 31971762]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[31971762],0,[],0,[],2,
